,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,Lenses,Film Cameras,Viewfinders & Eyecups,Digital Cameras,Flashes,Lens Hoods,Lens Caps,Battery Grips,"Lens Adapters, Mounts & Tubes","Cases, Bags & Covers"
0,0,,nikon f3 eyelevel,3.03261E+11,Nikon F3 Eyelevel 35mm SLR Film Camera + Ai NIKKOR 24mm f/2.8 + MD-4 Motor Drive,https://www.ebay.com/itm/Nikon-F3-Eyelevel-35mm-SLR-Film-Camera-Ai-NIKKOR-24mm-f-2-8-MD-4-Motor-Drive-/303261033379,219,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
1,8,,nikon back door,2.54354E+11,Nikon Back Door lever BLACK and Battery cap for Nikon F2  SN454 **Excellent++**,https://www.ebay.com/itm/Nikon-Back-Door-lever-BLACK-and-Battery-cap-Nikon-F2-SN454-Excellent-/254354266250,14,USD,JP,30038,Film Camera Parts,StoreInventory,Used,0.047303351,0.047467233,0.131274131,0.031818182,0.052631579,0.076923077,0.107344633,0.115646259,0.076190476,0.101851852
2,12,,nikon f4 f4s,2.64449E+11,"""Almost MINT"" Nikon F4 F4S + AF Nikkor 50mm f1.4 Lens + SB-24 + CF-43 from Japan",https://www.ebay.com/itm/Almost-MINT-Nikon-F4-F4S-AF-Nikkor-50mm-f1-4-Lens-SB-24-CF-43-Japan-/264448915438,374.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.207668877,0.174282678,0.05019305,0.063636364,0.081871345,0.205128205,0.13559322,0.054421769,0.085714286,0.101851852
3,17,,nikon af nikkor,3.23911E+11,Nikon AF NIKKOR 35-105mm F3.5-4.5 SN3026920,https://www.ebay.com/itm/Nikon-AF-NIKKOR-35-105mm-F3-5-4-5-SN3026920-/323910557022,35.8,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.117948718,0.084745763,2.65E-16,-7.63E-17,0.037037037
4,21,,nikon f4s 35mm,1.23708E+11,Nikon F4s 35mm SLR Film Camera Body w/MB-21 from Japan [Exc],https://www.ebay.com/itm/Nikon-F4s-35mm-SLR-Film-Camera-Body-w-MB-21-Japan-Exc-/123708490600,169.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.197097294,0.263195182,0.05019305,0.086363636,0.081871345,0.153846154,0.13559322,0.06122449,0.085714286,0.101851852
5,31,,nikon speedlight sb27,1.83927E+11,Nikon Speedlight SB-27 Shoe Mount Flash w/Box [Near Mint] from Japan #11418,https://www.ebay.com/itm/Nikon-Speedlight-SB-27-Shoe-Mount-Flash-w-Box-Near-Mint-Japan-11418-/183926928313,44.99,USD,JP,48515,Flashes,StoreInventory,Used,0.083318402,0.077577046,0.05019305,0.063636364,0.087719298,0.046153846,0.050847458,0.06122449,0.085714286,0.064814815
6,39,,nikon speedlight sb23,1.33161E+11,[Near Mint] Nikon Speedlight SB-23 Shoe Mount Flash for Nikon From Japan #4,https://www.ebay.com/itm/Near-Mint-Nikon-Speedlight-SB-23-Shoe-Mount-Flash-Nikon-Japan-4-/133161472230,29.99,USD,JP,48515,Flashes,FixedPrice,Used,0.019888909,-9.37E-17,0.088803089,3.12E-17,0.035087719,0.056410256,0.011299435,0.095238095,0.047619048,0.064814815
7,44,,nikon ais fisheye,3.33311E+11,、EM I N T 】Nikon Ai-S Fisheye Nikkor 16mm F/2.8 MF AiS Lens From JAPAN #261,https://www.ebay.com/itm/M-N-T-Nikon-Ai-S-Fisheye-Nikkor-16mm-F-2-8-MF-AiS-Lens-JAPAN-261-/333310916707,449.99,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
8,46,,nikon af nikkor,1.43368E+11,Nikon AF Nikkor 35-70mm f/2.8 D Zoom Lens SN768551 from Japan *As-Is*,https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-f-2-8-D-Zoom-Lens-SN768551-Japan-As-Is-/143368005256,59.8,USD,JP,3323,Lenses,StoreInventory,Used,0.188317506,0.247254694,0.05019305,0.063636364,0.081871345,0.153846154,0.13559322,0.054421769,0.085714286,0.101851852
9,48,,nikon f100 35mm,3.92423E+11,[Near MINT] Nikon F100 35mm Film Camera w/ MB-15 From Japan #1135,https://www.ebay.com/itm/Near-MINT-Nikon-F100-35mm-Film-Camera-w-MB-15-Japan-1135-/392423137954,249.9,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
10,58,,nikon af nikkor,2.54181E+11,Nikon AF NIKKOR 28-70mm f/3.5-4.5D  Zoom Lens  from Japan  #368807,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-70mm-f-3-5-4-5D-Zoom-Lens-Japan-368807-/254181048975,39.99,USD,JP,3323,Lenses,StoreInventory,Used,0.215731948,0.210768686,0.092664093,0.095454545,0.099415205,0.174358974,0.13559322,0.074829932,0.114285714,0.138888889
11,59,,nikon from japan,2.54322E+11,Sigma Zoom  28-70mm  f/3.5-5.6 HF Aspherical lens for Nikon From Japan #475204,https://www.ebay.com/itm/Sigma-Zoom-28-70mm-f-3-5-5-6-HF-Aspherical-lens-Nikon-Japan-475204-/254322358451,39.9,USD,JP,3323,Lenses,FixedPrice,Used,0.2569432,0.158696422,0.131274131,0.068181818,0.052631579,0.276923077,0.192090395,0.115646259,0.095238095,0.138888889
12,70,,nikon from japan,2.64287E+11,◁Es Is◁ETokina SZ-X 60-300mm F/4-5.6 Zoom Macro Lens For Nikon From Japan #10,https://www.ebay.com/itm/As-Is-Tokina-SZ-X-60-300mm-F-4-5-6-Zoom-Macro-Lens-Nikon-Japan-10-/264287355429,39.99,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
13,76,,nikon f eye,3.23914E+11,[Near Mint] Nikon F Eye Level W/ NIKKOR-S C Auto F/1.4 50㎁EFrom Japan 387,https://www.ebay.com/itm/Near-Mint-Nikon-F-Eye-Level-W-NIKKOR-S-C-Auto-F-1-4-50-Japan-387-/323914302955,239.9,USD,JP,15230,Film Cameras,StoreInventory,Used,0.019351371,0.010981226,-1.23E-16,3.12E-17,5.55E-17,0.051282051,-1.77E-16,2.65E-16,-7.63E-17,6.94E-17
14,78,,near mintnikon f2,3.23874E+11,【Near Mint】Nikon F2 AS Photomic F2 AS Black DP-12 35mm Film Camera From JAPAN,https://www.ebay.com/itm/Near-Mint-Nikon-F2-Photomic-F2-Black-DP-12-35mm-Film-Camera-JAPAN-/323873869023,369.99,USD,JP,15230,Film Cameras,StoreInventory,Used,0.113778893,0.185618137,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
15,85,,nikon af nikkor,1.83956E+11,NIKON AF NIKKOR 300mm F/4 ED Prime Lens Excellent++ From JAPAN #918,https://www.ebay.com/itm/NIKON-AF-NIKKOR-300mm-F-4-ED-Prime-Lens-Excellent-JAPAN-918-/183955814022,290,USD,JP,3323,Lenses,StoreInventory,Used,0.113778893,0.101664896,-1.23E-16,0.022727273,5.55E-17,0.107692308,0.084745763,2.65E-16,-7.63E-17,0.037037037
