,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
92,,Excellent Nikon AiS Ais Nikkor 200 mm f4 MF Lens F Mount Japan 192,233268853506,[Excellent+++++] Nikon Ai-S Ais Nikkor 200mm f/4 MF Lens F Mount from Japan 192,https://www.ebay.com/itm/Excellent-Nikon-Ai-S-Ais-Nikkor-200mm-f-4-MF-Lens-F-Mount-Japan-192-/233268853506,109.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon,20044.0,3
51,,Exc Nikon Ai Nikkor 200 mm F4 Prime MF Telephoto Lens Japan 515,233282044862,[Exc+++++] Nikon Ai Nikkor 200mm F4 Prime MF Telephoto Lens from Japan # 515,https://www.ebay.com/itm/Exc-Nikon-Ai-Nikkor-200mm-F4-Prime-MF-Telephoto-Lens-Japan-515-/233282044862,79.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon,20044.0,3
62,,Box Nikon AIS Nikkor 50 mm F18 MF Pancake Lens Japan 504,233303522200,[Exc+5 in Box] Nikon AI-S Nikkor 50mm F/1.8 MF Pancake Lens From Japan # 504,https://www.ebay.com/itm/Exc-5-Box-Nikon-AI-S-Nikkor-50mm-F-1-8-MF-Pancake-Lens-Japan-504-/233303522200,119.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon,20044.0,3
97,,Nikon Nikkor O C Auto 35 mm F2 MF Non Ai Lens Japan,202750054101,Nikon Nikkor O C Auto 35mm F2 MF Non Ai Lens from Japan,https://www.ebay.com/itm/Nikon-Nikkor-O-C-Auto-35mm-F2-MF-Non-Ai-Lens-Japan-/202750054101,135.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18105.0,3
15,,MINT Nikon Ai Nikkor 24 mm f28 Manual Focus MF Wide Lens WHood Japan 1911,153652407836,【MINT+++】 Nikon Ai Nikkor 24mm f/2.8 Manual Focus MF Wide Lens W/Hood Japan 1911,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-24mm-f-2-8-Manual-Focus-MF-Wide-Lens-W-Hood-Japan-1911-/153652407836,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18105.0,3
12,,NEAR MINT NIKON Ais NIKKOR 35 mm f28 AIS MF Lens Japan 199,293018826273,NEAR MINT NIKON Ai-s NIKKOR 35mm f/2.8 AIS MF Lens From Japan #199,https://www.ebay.com/itm/NEAR-MINT-NIKON-Ai-s-NIKKOR-35mm-f-2-8-AIS-MF-Lens-Japan-199-/293018826273,129.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18105.0,3
38,,Nikon Ai Micro Nikkor 55 mm f35 MF Lens Japan,202750828559,Nikon Ai Micro Nikkor 55mm f3.5 MF Lens from Japan,https://www.ebay.com/itm/Nikon-Ai-Micro-Nikkor-55mm-f3-5-MF-Lens-Japan-/202750828559,50.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18105.0,3
10,,Nikon Ais Micro Nikkor 55 mm f28 Macro MF Lens Japan 443127,382964545044,Nikon Ai-s Micro Nikkor 55mm f/2.8 Macro MF Lens from Japan #443127,https://www.ebay.com/itm/Nikon-Ai-s-Micro-Nikkor-55mm-f-2-8-Macro-MF-Lens-Japan-443127-/382964545044,80.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18105.0,3
36,,MINTNIKON AIS NIKKOR 50 mm F18 Pancake MF Prime Lens Japan 33,192951861570,【MINT】NIKON AI-S NIKKOR 50mm F/1.8 Pancake MF Prime Lens From Japan #33,https://www.ebay.com/itm/MINT-NIKON-AI-S-NIKKOR-50mm-F-1-8-Pancake-MF-Prime-Lens-Japan-33-/192951861570,109.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon NIKKOR,14188.0,3
4,,Mint Nikon Ais NIKKOR ais MF Lense 50 mm japan 478,173918100510,[Near Mint] Nikon Ai-s NIKKOR  ais  MF Lense  50mm f/1.4 from japan #478,https://www.ebay.com/itm/Near-Mint-Nikon-Ai-s-NIKKOR-ais-MF-Lense-50mm-f-1-4-japan-478-/173918100510,169.9,USD,JP,3323,Lenses,StoreInventory,Used,NIKON NIKKOR,14187.0,3
14,,MintNikon AiS Nikkor 35 mm f2 Prime Wide Angle MF Lens Japan117,192866099198,【Mint】Nikon Ai-S Nikkor 35mm f2 AIs Prime Wide Angle MF Lens from Japan#117,https://www.ebay.com/itm/Mint-Nikon-Ai-S-Nikkor-35mm-f2-AIs-Prime-Wide-Angle-MF-Lens-Japan-117-/192866099198,199.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14187.0,3
36,,MINT NIKON AiS NIKKOR 50 mm F12 AIS F12 MF Lens Japan 381,352815224606,[MINT] NIKON Ai-S NIKKOR 50mm F1.2 AIS F/1.2 MF Lens from Japan #381,https://www.ebay.com/itm/MINT-NIKON-Ai-S-NIKKOR-50mm-F1-2-AIS-F-1-2-MF-Lens-Japan-381-/352815224606,339.99,USD,JP,3323,Lenses,StoreInventory,Used,NIKON  NIKKOR,14187.0,3
77,,NIKON Ai NIKKOR 50 mm F12 Prime MF SLR Lens JAPAN Exc 469460A,254317833561,NIKON Ai NIKKOR 50mm F1.2 Prime MF SLR Lens From JAPAN [Exc+++] #469460A,https://www.ebay.com/itm/NIKON-Ai-NIKKOR-50mm-F1-2-Prime-MF-SLR-Lens-JAPAN-Exc-469460A-/254317833561,259.9,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor,14187.0,3
72,,EXCELLENT Nikon Nikkor 50 mm Ais Ais MF Lens Japan,202781237275,EXCELLENT Nikon Nikkor 50mm f/1.2 Ai-s Ais MF Lens from Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-50mm-f-1-2-Ai-s-Ais-MF-Lens-Japan-/202781237275,324.88,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14187.0,3
70,,Mint Nikon NIKKOR 20 mm F4 Ai Wide Angle MF Lens F Mount Japan,352701334597,【Near Mint】 Nikon NIKKOR 20mm F4  Ai Wide Angle MF Lens for F Mount from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-NIKKOR-20mm-F4-Ai-Wide-Angle-MF-Lens-F-Mount-Japan-/352701334597,269.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14187.0,3
60,,Exc Nikon Ai Nikkor 200 mm F4 Prime MF Telephoto Lens Japan 559,233331054682,[Exc++++] Nikon Ai Nikkor 200mm F4 Prime MF Telephoto Lens from Japan # 559,https://www.ebay.com/itm/Exc-Nikon-Ai-Nikkor-200mm-F4-Prime-MF-Telephoto-Lens-Japan-559-/233331054682,69.9,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR,14036.0,3
91,,Nikon NIKKOR QC Auto135 mm F28 MF Telephoto Lens Japan,202747281403,Nikon NIKKOR QC Auto135mm F/2.8 MF Telephoto Lens from Japan,https://www.ebay.com/itm/Nikon-NIKKOR-QC-Auto135mm-F-2-8-MF-Telephoto-Lens-Japan-/202747281403,45.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14036.0,3
