,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
14,,Nikon Ai NIKKOR 50 mm F14 MF Lens Japan A877,123910592155,Excellent+++ Nikon Ai NIKKOR 50mm F1.4 MF Lens from Japan A877,https://www.ebay.com/itm/Excellent-Nikon-Ai-NIKKOR-50mm-F1-4-MF-Lens-Japan-A877-/123910592155,99.0,USD,JP,3323,Lenses,StoreInventory,Used
17,,NearMINT Nikon FA SLR 35 mm Film Camera Ai 50 mm Lens Japan 5336,264476043791,"""NearMINT"" Nikon FA SLR 35mm Film Camera + Ai 50mm f/1.4 Lens From Japan #5336",https://www.ebay.com/itm/NearMINT-Nikon-FA-SLR-35mm-Film-Camera-Ai-50mm-f-1-4-Lens-Japan-5336-/264476043791,289.99,USD,JP,15230,Film Cameras,StoreInventory,Used
20,,Nikon DP20 DP20 View Finder Nikon F4 F4S F4E,264474641591,Nikon DP-20 DP20 View Finder for Nikon F4 F4S F4E  SN6318040,https://www.ebay.com/itm/Nikon-DP-20-DP20-View-Finder-Nikon-F4-F4S-F4E-SN6318040-/264474641591,45.8,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used
24,,NearMint Nikon F6 35 mm SLR Film Camera Body Japan 830f559,333128262447,[NearMint]  Nikon F6 35mm SLR Film Camera Body from Japan (830-f559),https://www.ebay.com/itm/NearMint-Nikon-F6-35mm-SLR-Film-Camera-Body-Japan-830-f559-/333128262447,820.0,USD,JP,15230,Film Cameras,StoreInventory,Used
26,,679 Sigma C 1770 mm F284 DC MACRO OS HSM Nikon EXC Contemporary,254342619320,679 Sigma C 17-70mm F/2.8-4 DC MACRO OS HSM for Nikon ***EXC+++*** Contemporary,https://www.ebay.com/itm/679-Sigma-C-17-70mm-F-2-8-4-DC-MACRO-OS-HSM-Nikon-EXC-Contemporary-/254342619320,220.52,USD,JP,3323,Lenses,StoreInventory,Used
29,,zoom nikkor 35135 mm f3545 lens ais slr dslr camera lens 2572,323811018855,nikon zoom nikkor 35-135mm f3.5-4.5 lens ais for slr dslr camera af mf lens 2572,https://www.ebay.com/itm/nikon-zoom-nikkor-35-135mm-f3-5-4-5-lens-ais-slr-dslr-camera-af-mf-lens-2572-/323811018855,38.0,USD,JP,3323,Lenses,StoreInventory,Used
32,,Tokina ATX PRO 2870 mm f28 AF Lens Nikon wHoodCaps Exc Japan,183962820297,Tokina AT-X PRO 28-70mm f/2.8 AF Lens For Nikon w/Hood/Caps [Exc-] from Japan,https://www.ebay.com/itm/Tokina-AT-X-PRO-28-70mm-f-2-8-AF-Lens-Nikon-w-Hood-Caps-Exc-Japan-/183962820297,164.99,USD,JP,3323,Lenses,FixedPrice,Used
33,,Nikon Nikkor P 75 mm Lens Zenza Bronica S2 EC Asis JAPAN 138,383170359572,Nikon Nikkor P 75mm f/2.8 Lens for Zenza Bronica S2 EC ☆As-is☆ From JAPAN #138,https://www.ebay.com/itm/Nikon-Nikkor-P-75mm-f-2-8-Lens-Zenza-Bronica-S2-EC-As-is-JAPAN-138-/383170359572,39.9,USD,JP,3323,Lenses,StoreInventory,Used
41,,MINT Nikon Lite Touch Zoom 70 Ws AF Film Camera 2870 mm Macro JAPAN s164,123869033173,【MINT】 Nikon Lite Touch Zoom 70 Ws AF Film Camera 28-70mm Macro From JAPAN #s164,https://www.ebay.com/itm/MINT-Nikon-Lite-Touch-Zoom-70-Ws-AF-Film-Camera-28-70mm-Macro-JAPAN-s164-/123869033173,34.9,USD,JP,15230,Film Cameras,StoreInventory,Used
43,,MINT Nikon Ai Nikkor 24 mm f28 MF Lens New Hood Japan,223625181987,【MINT】 Nikon Ai Nikkor 24mm f/2.8 MF Lens w/ New Hood from Japan,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-24mm-f-2-8-MF-Lens-w-New-Hood-Japan-/223625181987,183.26,USD,JP,3323,Lenses,FixedPrice,Used
