,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts
50,,nikon micro nikkor,254360325325,Nikon Micro NIKKOR 200mm f/4 Ai-S ais MF Lens exc+ cvondition from japan  471323,https://www.ebay.com/itm/Nikon-Micro-NIKKOR-200mm-f-4-Ai-S-ais-MF-Lens-exc-cvondition-japan-471323-/254360325325,98.0,USD,JP,3323,Lenses,StoreInventory,Used,,990
75,,nikon shutter cable,333320341105,Nikon Shutter Cable Release Remote Cord AR-2 For F F2 Nikomat Body **MINT**,https://www.ebay.com/itm/Nikon-Shutter-Cable-Release-Remote-Cord-AR-2-F-F2-Nikomat-Body-MINT-/333320341105,12.0,USD,JP,64345,Remotes & Shutter Releases,StoreInventory,Used,,97
77,,nikon af nikkor,153642320717,[Excellent+++++] Nikon AF Nikkor 35mm f/2 D 35mm SLR Camera Lens From Japan 689,https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-35mm-f-2-D-35mm-SLR-Camera-Lens-Japan-689-/153642320717,199.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor 35mm f/2 D,95
95,,nikon af nikkor,254356205858,[Used] Nikon AF NIKKOR 35-70mm f/3.3-4.5 Zoom Lens,https://www.ebay.com/itm/Used-Nikon-AF-NIKKOR-35-70mm-f-3-3-4-5-Zoom-Lens-/254356205858,25.0,USD,JP,3323,Lenses,FixedPrice,Used,AF NIKKOR 35-70mm f/3.3-4.5,94
2,,nikon af nikkor,163863531724,[Excellent+++] Nikon AF Nikkor 35-70mm f/3.3-4.5 Zoom Lens From Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-35-70mm-f-3-3-4-5-Zoom-Lens-Japan-/163863531724,21.6,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor 35-70mm f/3.3-4.5,94
83,,nikon af nikkor,163850440780,[Excellent+] Nikon AF Nikkor 35-70mm f/3.3-4.5 Zoom Lens From Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-35-70mm-f-3-3-4-5-Zoom-Lens-Japan-/163850440780,21.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor 35-70mm f/3.3-4.5,94
23,,nikon af nikkor,163850428874,[Excellent++] Nikon AF Nikkor 35-70mm f/3.3-4.5 Zoom Lens From Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-Nikkor-35-70mm-f-3-3-4-5-Zoom-Lens-Japan-/163850428874,38.7,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor 35-70mm f/3.3-4.5,94
15,,nikon f waist,223663938160,[Mint] Nikon F Waist Level View Finder w/ Genuine Case For Nikon F From JAPAN,https://www.ebay.com/itm/Mint-Nikon-F-Waist-Level-View-Finder-w-Genuine-Case-Nikon-F-JAPAN-/223663938160,92.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,Nikon F Waist Level Finder,93
49,,nikon f waist,352793942042,Exc+5 Nikon F Waist Level Finder for SLR Camera Nippon Kogaku From JAPAN B0003,https://www.ebay.com/itm/Exc-5-Nikon-F-Waist-Level-Finder-SLR-Camera-Nippon-Kogaku-JAPAN-B0003-/352793942042,134.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,Nikon F Waist Level Finder,93
66,,nikon mf23 data,264459915528,Nikon MF-23 Data Back for Nikon F4 F4S F4E SN213783,https://www.ebay.com/itm/Nikon-MF-23-Data-Back-Nikon-F4-F4S-F4E-SN213783-/264459915528,48.0,USD,JP,29973,Film Backs & Holders,StoreInventory,Used,,9
57,,nikon 1 v2,223663255295,Nikon 1 V2 14.2MP Digital Mirrorless Camera White Body with Box #190824f,https://www.ebay.com/itm/Nikon-1-V2-14-2MP-Digital-Mirrorless-Camera-White-Body-Box-190824f-/223663255295,274.43,USD,JP,31388,Digital Cameras,StoreInventory,Used,,9
58,,nikon mb10 battery,323915970881,Nikon MB-10 Battery Grip For Nikon F90X N90S  SN326450 **Near Mint**,https://www.ebay.com/itm/Nikon-MB-10-Battery-Grip-Nikon-F90X-N90S-SN326450-Near-Mint-/323915970881,14.8,USD,JP,29967,Battery Grips,StoreInventory,Used,,9
73,,nikon zoom 500,264453314637,"""Almost Unused MINT"" Nikon ZOOM 500 AF QD 38-105mm Macro Panorama From JPN #5258",https://www.ebay.com/itm/Almost-Unused-MINT-Nikon-ZOOM-500-AF-QD-38-105mm-Macro-Panorama-JPN-5258-/264453314637,39.0,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon ZOOM 500 AF,9
14,,nikon sb22s speedlight,163855906697,[Near Mint] Nikon SB-22S Speedlight Shoe Mount Flash From Japan,https://www.ebay.com/itm/Near-Mint-Nikon-SB-22S-Speedlight-Shoe-Mount-Flash-Japan-/163855906697,11.7,USD,JP,48515,Flashes,StoreInventory,Used,Nikon SB-22S Speedlight,9
29,,mint in boxnikon,303272038326,【MINT in BOX】Nikon CF-20 Brown Leather Camera Case for F3 HP From Japan 8005,https://www.ebay.com/itm/MINT-BOX-Nikon-CF-20-Brown-Leather-Camera-Case-F3-HP-Japan-8005-/303272038326,45.99,USD,JP,107894,"Cases, Bags & Covers",StoreInventory,Used,CF-20,9
26,,nikon mk1 firing,362745635071,**Exc+++++** Nikon MK-1 Firing Rate Converter For MD-4 & F3 F3 HP from JAPAN 062,https://www.ebay.com/itm/Exc-Nikon-MK-1-Firing-Rate-Converter-MD-4-F3-F3-HP-JAPAN-062-/362745635071,199.99,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,MK-1,9
70,,nikon f80d 35mm,254353451962,Nikon F80D 35mm SLR Film Camera Body With MB-16 Battery Grip [Excellent+++++],https://www.ebay.com/itm/Nikon-F80D-35mm-SLR-Film-Camera-Body-MB-16-Battery-Grip-Excellent-/254353451962,99.0,USD,JP,15230,Film Cameras,StoreInventory,Used,,9
63,,nikon mk1 firing,392415249297,[Near MINT] Nikon MK-1 Firing Rate Converter For MD-4 & F3 From Japan #1124,https://www.ebay.com/itm/Near-MINT-Nikon-MK-1-Firing-Rate-Converter-MD-4-F3-Japan-1124-/392415249297,169.9,USD,JP,29970,Motor Drives & Winders,StoreInventory,Used,Nikon MK-1,9
73,,nikon af nikkor,153527528119,NIKON AF NIKKOR 300mm F4 IF ED Lens From Japan [Exc+++] #1101A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-300mm-F4-IF-ED-Lens-Japan-Exc-1101A-/153527528119,255.0,USD,JP,3323,Lenses,StoreInventory,Used,NIKON AF NIKKOR 300mm F4 IF ED,89
62,,nikon af nikkor,283603475163,"Nikon AF Nikkor 300mm f/4 IF ED Telephoto Lens ""READ"" From Japan [4757]",https://www.ebay.com/itm/Nikon-AF-Nikkor-300mm-f-4-IF-ED-Telephoto-Lens-READ-Japan-4757-/283603475163,305.15,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor 300mm f/4 IF ED,89
43,,nikon el nikkor,133158250413,EL-Nikkor Nikon EL NIKKOR 75mm f4 and 50mm f4 set,https://www.ebay.com/itm/EL-Nikkor-Nikon-EL-NIKKOR-75mm-f4-and-50mm-f4-set-/133158250413,28.0,USD,JP,3323,Lenses,StoreInventory,Used,,89
30,,nikon nikomat el,283613050263,[MINT] NIKON Nikomat EL 35mm SLR Film Camera Body Only From JAPAN 2010,https://www.ebay.com/itm/MINT-NIKON-Nikomat-EL-35mm-SLR-Film-Camera-Body-Only-JAPAN-2010-/283613050263,59.9,USD,JP,15230,Film Cameras,FixedPrice,Used,Nikon EL,87
4,,nikon ais nikkor,283432558098,Near Mint Nikon Ai-S Nikkor 200mm f4 Manual Lens with Filter from Japan,https://www.ebay.com/itm/Near-Mint-Nikon-Ai-S-Nikkor-200mm-f4-Manual-Lens-Filter-Japan-/283432558098,118.0,USD,JP,3323,Lenses,StoreInventory,Used,Ai-S Nikkor 200mm f4,87
67,,nikon af micro,223445993777,"Nikon AF MICRO NIKKOR 60mm F/2.8 with Case,Filter 1292",https://www.ebay.com/itm/Nikon-AF-MICRO-NIKKOR-60mm-F-2-8-Case-Filter-1292-/223445993777,138.0,USD,JP,3323,Lenses,StoreInventory,Used,1987,84
10,,nikon af micro,153612260585,Nikon AF Micro Nikkor 60mm F/2.8 D Lens Excellent+++ From Japan Tested F/S #3908,https://www.ebay.com/itm/Nikon-AF-Micro-Nikkor-60mm-F-2-8-D-Lens-Excellent-Japan-Tested-F-S-3908-/153612260585,208.05,USD,JP,3323,Lenses,StoreInventory,Used,1987,84
93,,nikon new fm2,293233086313,Excellent-!! Nikon New FM2 FM2N Black 35mm SLR Film Camera from Japan,https://www.ebay.com/itm/Excellent-Nikon-New-FM2-FM2N-Black-35mm-SLR-Film-Camera-Japan-/293233086313,259.0,USD,JP,15230,Film Cameras,StoreInventory,Used,,83
52,,nikon excellent from,264453334134,Tamron SP AF 90mm F2.8 MACRO Lens 72E For Nikon Excellent++ From Japan Tested,https://www.ebay.com/itm/Tamron-SP-AF-90mm-F2-8-MACRO-Lens-72E-Nikon-Excellent-Japan-Tested-/264453334134,155.0,USD,JP,3323,Lenses,StoreInventory,Used,,828
23,,nikon new fm2,273924384421,🔴EXC++++🔴 NIKON NEW FM2 BLACK 35MM SLR BODY ONLY W/ STRAP FROM JAPAN,https://www.ebay.com/itm/EXC-NIKON-NEW-FM2-BLACK-35MM-SLR-BODY-ONLY-W-STRAP-JAPAN-/273924384421,329.9,USD,JP,15230,Film Cameras,StoreInventory,Used,Nikon New FM2,82
58,,nikon nikkor sw,254202823648,"665 Nikon NIKKOR SW 90mm f/4.5 ***Near MINT*** with COPAL 0 Shutter, Board",https://www.ebay.com/itm/665-Nikon-NIKKOR-SW-90mm-f-4-5-Near-MINT-COPAL-0-Shutter-Board-/254202823648,347.8,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR SW,82
36,,nikon nikkor af,283605649622,Nikon Nikkor AF 20-35mm F2.8 D Lens #EL2143,https://www.ebay.com/itm/Nikon-Nikkor-AF-20-35mm-F2-8-D-Lens-EL2143-/283605649622,399.99,USD,JP,3323,Lenses,StoreInventory,Used,,8115
48,,nikon nikkor af,183768534633,[NEAR MINT] Nikon Nikkor AF 300mm f/4 ED from japan #107,https://www.ebay.com/itm/NEAR-MINT-Nikon-Nikkor-AF-300mm-f-4-ED-japan-107-/183768534633,399.0,USD,JP,3323,Lenses,StoreInventory,Used,,8115
