,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
0,32,,NEAR MINT Tokina ATX PRO AF 2870 mm f28 Zoom Lens Nikon Japan,352802288653,NEAR MINT Tokina AT-X PRO AF 28-70mm f/2.8 Zoom Lens for Nikon from Japan,https://www.ebay.com/itm/NEAR-MINT-Tokina-AT-X-PRO-AF-28-70mm-f-2-8-Zoom-Lens-Nikon-Japan-/352802288653,169.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18211.0,21
1,56,,MINT Nikon Ai Nikkor 24 mm f28 Manual Focus MF Wide Lens WHood Japan 1911,153652407836,【MINT+++】 Nikon Ai Nikkor 24mm f/2.8 Manual Focus MF Wide Lens W/Hood Japan 1911,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-24mm-f-2-8-Manual-Focus-MF-Wide-Lens-W-Hood-Japan-1911-/153652407836,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18210.0,21
2,8,,NIKON NIKKORSW 90 mm Lens Opti Mint Lens NEAR MINT Japan,293199518936,NIKON NIKKOR-SW 90mm f8 Lens Opti Mint Lens **NEAR MINT** From Japan,https://www.ebay.com/itm/NIKON-NIKKOR-SW-90mm-f8-Lens-Opti-Mint-Lens-NEAR-MINT-Japan-/293199518936,379.9,USD,JP,3323,Lenses,StoreInventory,Used,nikon nikkor,14188.0,21
3,0,,MintNikon AiS Nikkor 35 mm f2 Prime Wide Angle MF Lens Japan117,192866099198,【Mint】Nikon Ai-S Nikkor 35mm f2 AIs Prime Wide Angle MF Lens from Japan#117,https://www.ebay.com/itm/Mint-Nikon-Ai-S-Nikkor-35mm-f2-AIs-Prime-Wide-Angle-MF-Lens-Japan-117-/192866099198,199.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14188.0,21
4,9,,nikkorp auto 105 mm f25 Nonai Lens japan 433868,383126701044,[very good] nikon nikkor-p auto 105mm f/2.5 Non-ai Lens from japan 433868,https://www.ebay.com/itm/very-good-nikon-nikkor-p-auto-105mm-f-2-5-Non-ai-Lens-japan-433868-/383126701044,120.0,USD,JP,3323,Lenses,StoreInventory,Used,nikon nikkor,14188.0,21
5,80,,EXCELLENT Nikon Nikkor 50 mm Ais Ais MF Lens Japan,202781237275,EXCELLENT Nikon Nikkor 50mm f/1.2 Ai-s Ais MF Lens from Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-50mm-f-1-2-Ai-s-Ais-MF-Lens-Japan-/202781237275,324.88,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14186.0,21
6,11,,AS Nikon AF Nikkor 3570 mm 28 Zoome Lens Japan 202 B,401888942574,"""AS IS"" Nikon AF Nikkor 35-70mm f 2.8 Zoome Lens From Japan #202 B",https://www.ebay.com/itm/AS-IS-Nikon-AF-Nikkor-35-70mm-f-2-8-Zoome-Lens-Japan-202-B-/401888942574,84.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14186.0,21
7,36,,MINT Nikon AF Nikkor 28105 mm f3545 D AF Standard Zoom Lens Japan 89,193001226905,【MINT】 Nikon AF Nikkor 28-105mm f/3.5-4.5 D AF Standard Zoom Lens Japan #89,https://www.ebay.com/itm/MINT-Nikon-AF-Nikkor-28-105mm-f-3-5-4-5-D-AF-Standard-Zoom-Lens-Japan-89-/193001226905,99.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon NIKKOR,14186.0,21
8,42,,Excellent Nikon Nikkor 200 mm f4 Ai Manual Focus Telephoto Lens Japan,303276676663,"""Excellent"" Nikon Nikkor 200mm f/4 Ai Manual Focus Telephoto Lens from Japan",https://www.ebay.com/itm/Excellent-Nikon-Nikkor-200mm-f-4-Ai-Manual-Focus-Telephoto-Lens-Japan-/303276676663,108.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14185.0,21
9,12,,Excellent Nikon ZoomNIKKOR AiS 3570 mm f3345 Japan,202747273747,Excellent Nikon Zoom-NIKKOR Ai-S 35-70mm f/3.3-4.5 From Japan,https://www.ebay.com/itm/Excellent-Nikon-Zoom-NIKKOR-Ai-S-35-70mm-f-3-3-4-5-Japan-/202747273747,45.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14029.0,21
10,24,,Near MINTNikon NIKKOR 28 mm f35 NonAi JAPAN,173996224284,【Near MINT】Nikon NIKKOR 28mm f/3.5 Non-Ai From JAPAN,https://www.ebay.com/itm/Near-MINT-Nikon-NIKKOR-28mm-f-3-5-Non-Ai-JAPAN-/173996224284,39.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14027.0,21
11,24,,Nikon AFS DX Nikkor 55200 mm f456 G ED SWM Lens wcap Japan 486702,312755638997,Nikon AF-S DX Nikkor 55-200mm f/4-5.6 G ED SWM Lens w/cap from Japan #486702,https://www.ebay.com/itm/Nikon-AF-S-DX-Nikkor-55-200mm-f-4-5-6-G-ED-SWM-Lens-w-cap-Japan-486702-/312755638997,80.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14027.0,21
12,44,,Nikon AF Nikkor 2885 mm f3545 13545 Lens Japan 469662,312755614110,Nikon AF Nikkor 28-85mm f3.5-4.5 1:3.5-4.5 Lens from Japan [very good] #469662,https://www.ebay.com/itm/Nikon-AF-Nikkor-28-85mm-f3-5-4-5-1-3-5-4-5-Lens-Japan-very-good-469662-/312755614110,62.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14027.0,21
13,23,,Nikon AF NIKKOR 28105 mm F3545 13545 D Lens Japan,312756848170,Nikon AF NIKKOR 28-105mm F3.5-4.5 1:3.5-4.5 D Lens from Japan #486703[very good],https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-105mm-F3-5-4-5-1-3-5-4-5-D-Lens-Japan-486703-very-good-/312756848170,90.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14027.0,21
14,29,,NIKON AI NIKKOR 200 mm F4 Telephoto Prime Lens Excellent Japan,174005533780,NIKON AI NIKKOR 200mm F/4 Telephoto Prime Lens [Excellent+++] From Japan,https://www.ebay.com/itm/NIKON-AI-NIKKOR-200mm-F-4-Telephoto-Prime-Lens-Excellent-Japan-/174005533780,94.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14027.0,21
15,44,,Exc Nikon Ai Nikkor 200 mm F4 Prime MF Telephoto Lens Japan 559,233331054682,[Exc++++] Nikon Ai Nikkor 200mm F4 Prime MF Telephoto Lens from Japan # 559,https://www.ebay.com/itm/Exc-Nikon-Ai-Nikkor-200mm-F4-Prime-MF-Telephoto-Lens-Japan-559-/233331054682,69.9,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR,14025.0,21
16,21,,N Mint Nikon Nikkor 50 mm f2 NonAi MF Manual FoucusLens Japan 59,202768849116,[N Mint++] Nikon Nikkor 50mm f/2 Non-Ai MF Manual FoucusLens From Japan #59,https://www.ebay.com/itm/N-Mint-Nikon-Nikkor-50mm-f-2-Non-Ai-MF-Manual-FoucusLens-Japan-59-/202768849116,59.8,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14025.0,21
17,79,,AS Nikon NIKKOR S Auto 50 mm F14 NonAi Lens Japan 357214,202750815580,AS IS Nikon NIKKOR S Auto 50mm F1.4 Non-Ai Lens from Japan #357214,https://www.ebay.com/itm/Nikon-NIKKOR-S-Auto-50mm-F1-4-Non-Ai-Lens-Japan-357214-/202750815580,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14025.0,21
18,14,,Nikon AF Nikkor 3570 mm f3345 AF Zoom Lens Japan,202761950049,Nikon AF Nikkor 35-70mm f3.3-4.5 AF Zoom Lens From Japan,https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-f3-3-4-5-AF-Zoom-Lens-Japan-/202761950049,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14025.0,21
19,84,,AS Nikon NIKKOR S Auto 50 mm F14 NonAi Lens Japan 487632,202750812907,AS IS Nikon NIKKOR S Auto 50mm F1.4 Non-Ai Lens from Japan #487632,https://www.ebay.com/itm/Nikon-NIKKOR-S-Auto-50mm-F1-4-Non-Ai-Lens-Japan-487632-/202750812907,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14024.0,21
20,34,,Nikon Reflex Nikkor C 500 mm F8 18 Lens wcaps Japan 481524,312755614064,Nikon Reflex Nikkor C 500mm F8 1:8 Lens w/caps from Japan #481524,https://www.ebay.com/itm/Nikon-Reflex-Nikkor-C-500mm-F8-1-8-Lens-w-caps-Japan-481524-/312755614064,181.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14024.0,21
21,61,,App NEAR MINTOpt Excellent Nikon AF 2870 mm f3545 D Lens Japan 624,303194942593,"""App NEAR MINT(Opt Excellent+++)"" Nikon AF 28-70mm f3.5-4.5 D Lens Japan #624",https://www.ebay.com/itm/App-NEAR-MINT-Opt-Excellent-Nikon-AF-28-70mm-f3-5-4-5-D-Lens-Japan-624-/303194942593,65.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF,10497.0,21
22,89,,Nikon AFS Nikkor 1870 mm f3545 G ED DX whood 380 FS,113772589226,Nikon AF-S Nikkor 18-70mm f/3.5-4.5 G ED IF DX w/hood [excellent] #380 F/S !!,https://www.ebay.com/itm/Nikon-AF-S-Nikkor-18-70mm-f-3-5-4-5-G-ED-IF-DX-w-hood-excellent-380-F-S-/113772589226,110.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF,10497.0,21
23,3,,Nikon NIKKOR 70210 mm f4056 AF Lens japan 433874,383138891081,Nikon NIKKOR 70-210mm f/4.0-5.6 AF Lens w/cap from japan 433874 [very good],https://www.ebay.com/itm/Nikon-NIKKOR-70-210mm-f-4-0-5-6-AF-Lens-w-cap-japan-433874-very-good-/383138891081,60.0,USD,JP,3323,Lenses,StoreInventory,Used,nikon af,10496.0,21
24,95,,Mint Nikon AF Micro NIKKOR 105 mm f28 D Telephoto Lens Japan,174023566227,【 Mint 】Nikon AF Micro NIKKOR 105mm f/2.8 D Telephoto Lens from Japan,https://www.ebay.com/itm/Mint-Nikon-AF-Micro-NIKKOR-105mm-f-2-8-D-Telephoto-Lens-Japan-/174023566227,249.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF,10496.0,21
25,36,,Nikon AF D Zoom Nikkor 2485 mm f284 FX lens Japan Exc 456487A,254271713243,Nikon AF D Zoom Nikkor 24-85mm f/2.8-4 macro FX lens Japan [Exc+++++] #456487A,https://www.ebay.com/itm/Nikon-AF-D-Zoom-Nikkor-24-85mm-f-2-8-4-macro-FX-lens-Japan-Exc-456487A-/254271713243,219.9,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF,10495.0,21
26,64,,Mint Nikon AF Nikkor 50 mm D Standard Lens w Cap Japan 970,401885734980,"""Mint"" Nikon AF Nikkor 50mm f/1.4 D Standard Lens w/ Cap From Japan #970",https://www.ebay.com/itm/Mint-Nikon-AF-Nikkor-50mm-f-1-4-D-Standard-Lens-w-Cap-Japan-970-/401885734980,197.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR AF,8177.0,21
27,1,,Nikon AF Nikkor 2450 mm F3345 D Zoom Lens JAPAN Exc 487163A,254353378004,Nikon AF Nikkor 24-50mm F/3.3-4.5 D Zoom Lens from JAPAN [Exc+++++] #487163A,https://www.ebay.com/itm/Nikon-AF-Nikkor-24-50mm-F-3-3-4-5-D-Zoom-Lens-JAPAN-Exc-487163A-/254353378004,69.9,USD,JP,3323,Lenses,FixedPrice,Used,Nikon Nikkor  AF,8175.0,21
28,98,,Nikon AF NIKKOR 2870 mm f3545D Zoom Lens Japan 368807,254181048975,Nikon AF NIKKOR 28-70mm f/3.5-4.5D  Zoom Lens  from Japan  #368807,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-70mm-f-3-5-4-5D-Zoom-Lens-Japan-368807-/254181048975,39.99,USD,JP,3323,Lenses,StoreInventory,Used,AF Nikkor,7964.0,21
29,45,,NEAR MINT Nikon AF Nikkor 24 mm f28 1728,264473646297,[NEAR MINT] Nikon AF Nikkor 24mm f/2.8 (1728),https://www.ebay.com/itm/NEAR-MINT-Nikon-AF-Nikkor-24mm-f-2-8-1728-/264473646297,129.99,USD,JP,3323,Lenses,FixedPrice,Used,AF Nikkor,7963.0,21
30,23,,NIKON AF NIKKOR 180 mm F28 ED Lens Japan Exc 8259A,153622264576,NIKON AF NIKKOR 180mm F2.8 ED IF Lens from Japan [Exc] #8259A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-180mm-F2-8-ED-IF-Lens-Japan-Exc-8259A-/153622264576,299.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON AF NIKKOR,7916.0,21
31,52,,NIKON AF NIKKOR 80200 mm F28 ED Lens Japan Exc 8258A,153622224496,NIKON AF NIKKOR 80-200mm F2.8 ED Lens from Japan [Exc++] #8258A,https://www.ebay.com/itm/NIKON-AF-NIKKOR-80-200mm-F2-8-ED-Lens-Japan-Exc-8258A-/153622224496,175.0,USD,JP,3323,Lenses,FixedPrice,Used,NIKON AF NIKKOR,7914.0,21
32,45,,TOP MINT BOX Nikon AF NIKKOR 35 mm f2 D Auto Focus Lens Japan 055,133122430706,【TOP MINT IN BOX】 Nikon AF NIKKOR 35mm f/2 D Auto Focus Lens from Japan 055,https://www.ebay.com/itm/TOP-MINT-BOX-Nikon-AF-NIKKOR-35mm-f-2-D-Auto-Focus-Lens-Japan-055-/133122430706,227.9,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF NIKKOR,7914.0,21
33,91,,Nikon AF NIKKOR 50 mm Standard Prime Lens wbox Japan Near Mint 9017A,153630466329,Nikon AF NIKKOR 50mm f1.4 D Standard Prime Lens w/box Japan [Near Mint] #9017A,https://www.ebay.com/itm/Nikon-AF-NIKKOR-50mm-f1-4-D-Standard-Prime-Lens-w-box-Japan-Near-Mint-9017A-/153630466329,190.0,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF NIKKOR,7914.0,21
34,14,,MINT Nikon AF Nikkor 70210 mm f456D Zoom Lens JAPAN 8,133165464255,[Near MINT] Nikon AF Nikkor 70-210mm f/4-5.6D Zoom Lens from JAPAN #8,https://www.ebay.com/itm/Near-MINT-Nikon-AF-Nikkor-70-210mm-f-4-5-6D-Zoom-Lens-JAPAN-8-/133165464255,54.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon AF Nikkor,7914.0,21
35,75,,Exc Nikon AF NIKKOR 35135 mm F3545 Lens wFrontRear Cap JAPAN 170,123700375744,Exc++++ Nikon AF NIKKOR 35-135mm F3.5-4.5 Lens w/Front＆Rear Cap From JAPAN # 170,https://www.ebay.com/itm/Exc-Nikon-AF-NIKKOR-35-135mm-F3-5-4-5-Lens-w-Front-Rear-Cap-JAPAN-170-/123700375744,45.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7914.0,21
36,11,,Nikon AF NIKKOR 50 mm Prime Lens Near Mint WCaps Japan Tokyo Tested,123758825008,Nikon AF NIKKOR 50mm f/1.4 Prime Lens Near Mint W/Caps From Japan Tokyo Tested,https://www.ebay.com/itm/Nikon-AF-NIKKOR-50mm-f-1-4-Prime-Lens-Near-Mint-W-Caps-Japan-Tokyo-Tested-/123758825008,160.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7914.0,21
37,92,,Nikon AF NIKKOR 105 mm F28 Micro Lens WCaps Exc japan,293084506747,Nikon AF NIKKOR 105mm F/2.8 Micro Lens W/Caps [Exc+++] from japan,https://www.ebay.com/itm/Nikon-AF-NIKKOR-105mm-F-2-8-Micro-Lens-W-Caps-Exc-japan-/293084506747,189.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon AF Nikkor,7913.0,21
