,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model,TotalCounts,Target
13,,MINT Nikon Ai Nikkor 24 mm f28 Manual Focus MF Wide Lens WHood Japan 1911,153652407836,【MINT+++】 Nikon Ai Nikkor 24mm f/2.8 Manual Focus MF Wide Lens W/Hood Japan 1911,https://www.ebay.com/itm/MINT-Nikon-Ai-Nikkor-24mm-f-2-8-Manual-Focus-MF-Wide-Lens-W-Hood-Japan-1911-/153652407836,139.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18170.0,21
88,,NEAR MINT Tokina ATX PRO AF 2870 mm f28 Zoom Lens Nikon Japan,352802288653,NEAR MINT Tokina AT-X PRO AF 28-70mm f/2.8 Zoom Lens for Nikon from Japan,https://www.ebay.com/itm/NEAR-MINT-Tokina-AT-X-PRO-AF-28-70mm-f-2-8-Zoom-Lens-Nikon-Japan-/352802288653,169.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18170.0,21
94,,Nikon Nikkor O C Auto 35 mm F2 MF Non Ai Lens Japan,202750054101,Nikon Nikkor O C Auto 35mm F2 MF Non Ai Lens from Japan,https://www.ebay.com/itm/Nikon-Nikkor-O-C-Auto-35mm-F2-MF-Non-Ai-Lens-Japan-/202750054101,135.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon F,18167.0,21
30,,Nikon AF NIKKOR 80200 mm f4556 D Lens Japan,372635455790,Excellent+++++ Nikon AF NIKKOR 80-200mm f/4.5-5.6 D Lens from Japan,https://www.ebay.com/itm/Excellent-Nikon-AF-NIKKOR-80-200mm-f-4-5-5-6-D-Lens-Japan-/372635455790,65.0,USD,JP,3323,Lenses,FixedPrice,Used,AF,16321.0,21
91,,MINT Nikon AF Nikkor 28105 mm f3545 D AF Standard Zoom Lens Japan 89,193001226905,【MINT】 Nikon AF Nikkor 28-105mm f/3.5-4.5 D AF Standard Zoom Lens Japan #89,https://www.ebay.com/itm/MINT-Nikon-AF-Nikkor-28-105mm-f-3-5-4-5-D-AF-Standard-Zoom-Lens-Japan-89-/193001226905,99.99,USD,JP,3323,Lenses,FixedPrice,Used,Nikon NIKKOR,14169.0,21
99,,Excellent Nikon Nikkor 200 mm f4 Ai Manual Focus Telephoto Lens Japan,303276676663,"""Excellent"" Nikon Nikkor 200mm f/4 Ai Manual Focus Telephoto Lens from Japan",https://www.ebay.com/itm/Excellent-Nikon-Nikkor-200mm-f-4-Ai-Manual-Focus-Telephoto-Lens-Japan-/303276676663,108.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14169.0,21
38,,EXCELLENT Nikon Nikkor 50 mm Ais Ais MF Lens Japan,202781237275,EXCELLENT Nikon Nikkor 50mm f/1.2 Ai-s Ais MF Lens from Japan,https://www.ebay.com/itm/EXCELLENT-Nikon-Nikkor-50mm-f-1-2-Ai-s-Ais-MF-Lens-Japan-/202781237275,324.88,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14168.0,21
69,,AS Nikon AF Nikkor 3570 mm 28 Zoome Lens Japan 202 B,401888942574,"""AS IS"" Nikon AF Nikkor 35-70mm f 2.8 Zoome Lens From Japan #202 B",https://www.ebay.com/itm/AS-IS-Nikon-AF-Nikkor-35-70mm-f-2-8-Zoome-Lens-Japan-202-B-/401888942574,84.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikon NIKKOR,14168.0,21
4,,Nikon AF Nikkor 2885 mm f3545 13545 Lens Japan 469662,312755614110,Nikon AF Nikkor 28-85mm f3.5-4.5 1:3.5-4.5 Lens from Japan [very good] #469662,https://www.ebay.com/itm/Nikon-AF-Nikkor-28-85mm-f3-5-4-5-1-3-5-4-5-Lens-Japan-very-good-469662-/312755614110,62.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14014.0,21
84,,Near MINTNikon NIKKOR 28 mm f35 NonAi JAPAN,173996224284,【Near MINT】Nikon NIKKOR 28mm f/3.5 Non-Ai From JAPAN,https://www.ebay.com/itm/Near-MINT-Nikon-NIKKOR-28mm-f-3-5-Non-Ai-JAPAN-/173996224284,39.99,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
3,,Exc Nikon Ai Nikkor 200 mm F4 Prime MF Telephoto Lens Japan 559,233331054682,[Exc++++] Nikon Ai Nikkor 200mm F4 Prime MF Telephoto Lens from Japan # 559,https://www.ebay.com/itm/Exc-Nikon-Ai-Nikkor-200mm-F4-Prime-MF-Telephoto-Lens-Japan-559-/233331054682,69.9,USD,JP,3323,Lenses,StoreInventory,Used,NIKKOR,14013.0,21
40,,AS Nikon NIKKOR S Auto 50 mm F14 NonAi Lens Japan 487632,202750812907,AS IS Nikon NIKKOR S Auto 50mm F1.4 Non-Ai Lens from Japan #487632,https://www.ebay.com/itm/Nikon-NIKKOR-S-Auto-50mm-F1-4-Non-Ai-Lens-Japan-487632-/202750812907,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
84,,Nikon AFS DX Nikkor 55200 mm f456 G ED SWM Lens wcap Japan 486702,312755638997,Nikon AF-S DX Nikkor 55-200mm f/4-5.6 G ED SWM Lens w/cap from Japan #486702,https://www.ebay.com/itm/Nikon-AF-S-DX-Nikkor-55-200mm-f-4-5-6-G-ED-SWM-Lens-w-cap-Japan-486702-/312755638997,80.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
33,,AS Nikon NIKKOR S Auto 50 mm F14 NonAi Lens Japan 357214,202750815580,AS IS Nikon NIKKOR S Auto 50mm F1.4 Non-Ai Lens from Japan #357214,https://www.ebay.com/itm/Nikon-NIKKOR-S-Auto-50mm-F1-4-Non-Ai-Lens-Japan-357214-/202750815580,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
76,,N Mint Nikon Nikkor 50 mm f2 NonAi MF Manual FoucusLens Japan 59,202768849116,[N Mint++] Nikon Nikkor 50mm f/2 Non-Ai MF Manual FoucusLens From Japan #59,https://www.ebay.com/itm/N-Mint-Nikon-Nikkor-50mm-f-2-Non-Ai-MF-Manual-FoucusLens-Japan-59-/202768849116,59.8,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
89,,Nikon Reflex Nikkor C 500 mm F8 18 Lens wcaps Japan 481524,312755614064,Nikon Reflex Nikkor C 500mm F8 1:8 Lens w/caps from Japan #481524,https://www.ebay.com/itm/Nikon-Reflex-Nikkor-C-500mm-F8-1-8-Lens-w-caps-Japan-481524-/312755614064,181.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
83,,Nikon AF NIKKOR 28105 mm F3545 13545 D Lens Japan,312756848170,Nikon AF NIKKOR 28-105mm F3.5-4.5 1:3.5-4.5 D Lens from Japan #486703[very good],https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-105mm-F3-5-4-5-1-3-5-4-5-D-Lens-Japan-486703-very-good-/312756848170,90.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14013.0,21
70,,Excellent Nikon ZoomNIKKOR AiS 3570 mm f3345 Japan,202747273747,Excellent Nikon Zoom-NIKKOR Ai-S 35-70mm f/3.3-4.5 From Japan,https://www.ebay.com/itm/Excellent-Nikon-Zoom-NIKKOR-Ai-S-35-70mm-f-3-3-4-5-Japan-/202747273747,45.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14012.0,21
73,,Nikon AF Nikkor 3570 mm f3345 AF Zoom Lens Japan,202761950049,Nikon AF Nikkor 35-70mm f3.3-4.5 AF Zoom Lens From Japan,https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-f3-3-4-5-AF-Zoom-Lens-Japan-/202761950049,30.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14012.0,21
77,,NIKON AF NIKKOR 3570 mm 128 ZOOM lens Japan 494282,312783265068,NIKON AF NIKKOR 35-70mm f2.8 1:2.8 ZOOM lens from Japan #494282,https://www.ebay.com/itm/NIKON-AF-NIKKOR-35-70mm-f2-8-1-2-8-ZOOM-lens-Japan-494282-/312783265068,150.0,USD,JP,3323,Lenses,StoreInventory,Used,Nikkor,14011.0,21
