,model,primaryCategory.categoryId,Unnamed: 0,JP_shortTitle,itemId,currentPrice,TotalCounts
0,1.4x,3323,81.0,,178565284058.0,213.99,501.5
1,150mm f/5.6,3323,56.0,,163854451745.0,359.99,223.0
2,152EN,3323,61.0,,333297389306.0,88.99,1.0
3,1913,3323,48.333333333333336,,213509479521.33334,169.70000000000002,2903.0
4,1987,3323,40.0,,188540742464.0,181.495,44291.0
5,301,3323,57.0,,133067784264.0,99.9,7504.0
6,35-135mm f/3.5-4.5 AF Nikkor,3323,52.0,,383112493040.0,81.0,43.0
7,35Ti,15230,73.0,,173855975651.0,458.0,73.0
8,50mm f1.8,3323,82.0,,113755097977.0,118.0,4586.0
9,70-300mm f/4-5.6 D DL MACRO,3323,39.0,,264453004624.0,15.0,20.0
10,72mm L37c,15216,61.0,,202631923658.0,29.99,6.0
11,A272,3323,4.0,,303282662807.0,229.0,277.0
12,AF 20-35mm F/3.5-4.5,3323,67.0,,202770871696.5,64.0,29.0
13,AF 28-300mm f/3.5-6.3 XR LD ASPH IF,3323,0.0,,254262275710.0,69.99,15.0
14,AF MACRO,3323,14.75,,155889372299.75,150.945,1871.75
15,AF NIKKOR 35-70mm f/3.3-4.5,3323,86.0,,254356205858.0,25.0,100.0
16,AF NIKKOR 50mm f/1.4 D,3323,53.0,,362746098678.0,149.99,126.0
17,AF NIKKOR 50mm f1.4D,3323,46.5,,283605382822.0,162.0,106.0
18,AF NIKKOR 80-200mm F/2.8,3323,87.0,,392313657062.0,219.9,283.0
19,AF NIKKOR 80-200mm F2.8 ED,3323,52.0,,274003789105.0,198.0,275.0
20,AF Nikkor,3323,58.0,,254181048975.0,39.99,8409.0
21,AF Nikkor 28-85mm F/3.5-4.5 Macro,3323,34.333333333333336,,223258286163.0,55.99,12.0
22,AF Nikkor 35-135mm f3-5-4.5,3323,59.0,,123886956203.0,59.0,0.0
23,AF Nikkor 35mm f/2,3323,57.0,,401886710467.0,199.0,124.0
24,AF Nikkor 50mm F/1.8,3323,98.0,,123903284856.0,49.0,453.0
25,AF Nikkor 70-210mm f4-5.6,3323,33.5,,223375826679.0,39.5,100.0
26,AF Zoom Nikkor 80-200mm f/2.8 ED,3323,14.0,,123901074240.0,179.0,211.0
27,AF Zoom-NIKKOR 80-200mm,3323,4.0,,243457635825.5,419.0,56.0
28,AF-S DX,3323,61.666666666666664,,120414769587.0,135.16666666666666,2810.0
29,AF-S NIKKOR 300mm 1:4 D,3323,69.0,,233338463575.0,500.0,1.0
30,AF-S Nikkor 18-55mm F/3.5-5.6 G VR DX,3323,30.0,,202686162349.0,89.99,214.0
31,AF-S Nikkor 28-70mm f/2.8D ED,3323,23.0,,254322974759.0,279.99,45.0
32,AF-S Zoom Nikkor VR 70-200mm f/2.8 G IF ED,3323,66.0,,283612395007.0,899.0,71.0
33,AI-S,3323,69.0,,122703421001.0,40.0,2672.0
34,AR-1,64345,84.0,,153637346382.0,29.99,272.0
35,AR-3,64345,46.0,,323769033484.0,5.0,318.0
36,AS-4,78999,50.0,,372705782449.0,16.97,174.0
37,AT-X AF 100mm f/2.8 Macro,3323,88.0,,254346037901.0,179.99,51.0
38,AT-X PRO 11-16mm F2.8 SD MF DX IF AF Lens,3323,29.0,,153630751659.0,283.0,19.0
39,Ai,3323,53.0,,163831160445.0,127.495,9704.0
40,Ai Converted,3323,22.0,,153641325565.0,198.0,159.0
41,Ai Nikkor 50mm F1.4S,3323,77.0,,352737946848.0,169.99,14.0
42,Ai-S,3323,79.5,,173996322946.0,197.49,2668.5
43,Ai-S Nikkor 200mm f4,3323,98.0,,283432558098.0,118.0,87.0
44,Ai-S Nikkor 300mm f4.5 ED,3323,57.0,,283523366372.0,210.0,24.0
45,Ai-S ZOOM-NIKKOR 80-200mm f/4,3323,9.0,,183815981325.0,96.0,29.0
46,Ai-s,3323,77.0,,153641417514.0,115.0,2672.0
47,Ai-s NIKKOR 35-70mm f/3.3-4.5,3323,50.0,,193092275949.0,19.98,35.0
48,Ai-s Nikkor 50mm f/1.2,3323,65.0,,123857263941.0,359.0,64.0
49,Canon AF600,15230,14.0,,283611437574.0,154.9,1.0
50,Carl Zeiss Distagon T * 21mm F/2.8,3323,47.0,,183951103144.0,169.99,0.0
51,Close Up Attachment Lens No 5T,78999,54.0,,333283362628.0,73.99,2.0
52,Coolpix P610,31388,82.0,,123792050580.0,275.0,15.0
53,"Correction Lens For Nikon F, Photomatic FTN & Niko",162480,5.0,,113736781634.0,19.99,
54,D810,31388,93.0,,263514939691.0,278.0,393.0
55,DC HSM,3323,36.0,,153644833361.0,119.0,1235.0
56,DK-2,167930,16.0,,174030296055.0,11.99,231.0
57,DR-4,167930,7.0,,153633341483.0,39.99,311.0
58,DW-3 Waist Level View Finder,167930,25.0,,183924987624.0,72.9,28.0
59,ED AI-S,3323,40.0,,123876175745.0,899.0,129.0
60,F,15230,52.0,,264385901398.0,129.99,
61,F Photomic,15230,43.5,,294166272311.0,274.895,589.5
62,F2 Photomic AS,15230,9.5,,273777064621.5,413.995,57.5
63,F3/T,15230,35.0,,143364352795.0,420.0,124.0
64,F3AF,15230,57.0,,113884295162.0,539.9,10.0
65,F4,15230,68.0,,283588885553.0,126.65,19710.0
66,F401,15230,43.0,,192872436328.0,39.99,36.0
67,F60,15230,99.0,,183945280659.0,13.8,398.0
68,F601 QD,15230,98.0,,183916910801.0,7.4,1.0
69,FE2,15230,41.0,,183950017722.0,149.0,643.0
70,HS-7,78999,42.0,,153590576041.0,16.99,263.0
71,HS-9,78999,41.0,,223453595270.0,19.99,89.0
72,IC,3323,72.0,,383135973223.0,112.0,7441.0
73,JAA112AB,3323,98.0,,352769274847.0,105.0,0.0
74,Kenko N-AFD MC7 Teleplus 2x,3323,41.0,,163837436166.0,35.1,9.0
75,L35 AW AD,15230,18.0,,123888574055.0,149.99,19.0
76,MB-10,29967,48.0,,153537871646.0,44.99,108.0
77,MB-15,29967,80.0,,392394618736.0,99.9,97.0
78,MB-21 Battery Grip Pack,29967,59.0,,283611582277.0,19.99,5.0
79,MD-12,29970,68.0,,174028392313.0,49.99,142.0
80,MD-3,29970,71.0,,323893367858.0,119.99,449.0
81,MF-23 MB-21,15230,94.0,,264438928075.0,149.9,4.0
82,MF-28,30038,57.0,,283610306917.0,199.0,30.0
83,Micro Nikkor Ai 105mm f/4,3323,42.0,,173916934932.0,99.99,36.0
84,Model 3,88668,85.0,,312767490769.0,97.0,17209.0
85,N,3323,70.0,,173967788921.0,299.9,
86,NC,15216,46.0,,143354759861.0,17.99,9654.0
87,NIKKOR 28mm 1:2.8,3323,37.0,,183902956325.0,80.0,31.0
88,NIKKOR 35mm f/2 AiS,3323,21.0,,352730986014.0,164.99,158.0
89,NIKKOR Ai 200mm f4,3323,14.0,,283558480900.0,82.0,234.0
90,NIKKOR-P C Auto 105mm f/2.5,3323,12.0,,254356198884.0,99.0,20.0
91,NIKKOR-Q,3323,70.0,,273992450907.0,65.0,192.0
92,NIKKOR-S,3323,57.0,,264402320417.0,49.99,534.0
93,NIKKOR-S Auto Non Ai 50mm f/1.4,3323,24.0,,143380146713.0,59.99,213.0
94,NIKKOR-W 210mm f/5.6,3323,41.0,,183935828108.0,328.0,34.0
95,NIKON AF MICRO NIKKOR 200mm F4 D,3323,79.0,,133168020455.0,907.25,32.0
