,Unnamed: 0,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,model
0,0,,nikon af nikkor,113835101414,AS IS Nikon AF Nikkor 35-70mm f/2.8 MACRO Lens for F Mount from Japan 1780,https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-f-2-8-MACRO-Lens-F-Mount-Japan-1780-/113835101414,98.0,USD,JP,3323,Lenses,StoreInventory,Used,
1,1,,nikon af nikkor,153593117190,Nikon AF NIKKOR 75-300mm F4.5-5.6 Zoom lens from Japan [Near Mint] #8052A,https://www.ebay.com/itm/Nikon-AF-NIKKOR-75-300mm-F4-5-5-6-Zoom-lens-Japan-Near-Mint-8052A-/153593117190,99.0,USD,JP,3323,Lenses,FixedPrice,Used,
2,3,,nikon ai nikkor,283558480900,Excellent Nikon Ai NIKKOR 200mm f4 Manual Lens from Japan,https://www.ebay.com/itm/Excellent-Nikon-Ai-NIKKOR-200mm-f4-Manual-Lens-Japan-/283558480900,82.0,USD,JP,3323,Lenses,StoreInventory,Used,
3,6,,nikon ais f,173997698443,【MINT】 Voigtlander Ultron 40mm F2 SL II N Aspherical Nikon Ais F Mount JAPAN,https://www.ebay.com/itm/MINT-Voigtlander-Ultron-40mm-F2-SL-II-N-Aspherical-Nikon-Ais-F-Mount-JAPAN-/173997698443,439.99,USD,JP,3323,Lenses,StoreInventory,Used,
4,8,,nikon f mount,254313624892,"TAMRON AF 28-75mm F2.8 XR Di A09N For NIKON F mount ""Excellent+"" JAPAN #19174",https://www.ebay.com/itm/TAMRON-AF-28-75mm-F2-8-XR-Di-A09N-NIKON-F-mount-Excellent-JAPAN-19174-/254313624892,189.0,USD,JP,3323,Lenses,StoreInventory,Used,
5,9,,nikon 72mm l39,173935087158,[TOP MINT] Genuine Nikon 72mm L39 UV Lens Filter B72 from JAPAN,https://www.ebay.com/itm/TOP-MINT-Genuine-Nikon-72mm-L39-UV-Lens-Filter-B72-JAPAN-/173935087158,38.99,USD,JP,15216,Filters,StoreInventory,Used,
6,12,,nikon 201845,143371383412,Nikonos Front Lens Cap for 15mm f2.8 nikonos v nikon #201845,https://www.ebay.com/itm/Nikonos-Front-Lens-Cap-15mm-f2-8-nikonos-v-nikon-201845-/143371383412,14.0,USD,JP,79001,Lens Caps,StoreInventory,Used,
7,13,,nikon ais 50mm,223454546486,** Near Mint ** Nikon Ai-s 50mm f1.4 MF Lens From Japan #33,https://www.ebay.com/itm/Near-Mint-Nikon-Ai-s-50mm-f1-4-MF-Lens-Japan-33-/223454546486,116.9,USD,JP,3323,Lenses,StoreInventory,Used,
8,14,,nikon af nikkor,283610248671,Nikon AF Nikkor Micro 105mm f/2.8 D Lens [Exc+++] w/Case From Japan [4774],https://www.ebay.com/itm/Nikon-AF-Nikkor-Micro-105mm-f-2-8-D-Lens-Exc-w-Case-Japan-4774-/283610248671,203.15,USD,JP,3323,Lenses,FixedPrice,Used,
9,16,,nikon,133158250468,Nikonos IV-A Underwater Film Camera w/35mm f2.5 Lens Nikon,https://www.ebay.com/itm/Nikonos-IV-A-Underwater-Film-Camera-w-35mm-f2-5-Lens-Nikon-/133158250468,119.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
10,17,,nikon 35ti 35mm,143335577278,【 Near Mint+++ in Box 】Nikon 35Ti 35mm Point & Shoot Film Camera From Japan #123,https://www.ebay.com/itm/Near-Mint-Box-Nikon-35Ti-35mm-Point-Shoot-Film-Camera-Japan-123-/143335577278,669.9,USD,JP,15230,Film Cameras,StoreInventory,Used,
11,19,,nikon ais nikkor,174024685068,"""MINT"" Nikon Ai-s NIKKOR 200mm F/4 MF Lens From JAPAN 4012",https://www.ebay.com/itm/MINT-Nikon-Ai-s-NIKKOR-200mm-F-4-MF-Lens-JAPAN-4012-/174024685068,108.99,USD,JP,3323,Lenses,StoreInventory,Used,
12,23,,nikon from japan,113883816619,FREE SHIP SIGMA 17-50mm F2.8 EX DC OS HSM for Nikon from Japan,https://www.ebay.com/itm/FREE-SHIP-SIGMA-17-50mm-F2-8-EX-DC-OS-HSM-Nikon-Japan-/113883816619,199.0,USD,JP,3323,Lenses,StoreInventory,Used,
