,JP_shortTitle,shortTitle,itemId,title,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition,TotalCounts
14,,leica v-lux30 okawara,133069830601,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,799.99,USD,JP,15230,Film Cameras,FixedPrice,Used,
20,,leica 28mm viewfinder,401839099349,[Near Mint] Leica 28mm viewfinder Black From Japan #1047,299.99,USD,JP,167930,Viewfinders & Eyecups,FixedPrice,Used,
21,,leica m mount,173938314990,【MINT+++ w/ Box】 Minolta M-Rokkor 28mm F/2.8 Leica M Mount For CL CLE from JAPAN,699.99,USD,JP,3323,Lenses,StoreInventory,Used,
25,,leica summaron 35mm,293197428449,Very Good!! Leica SUMMARON 35mm f/3.5 L39 LTM Leica Screw Mount from Japan,339.0,USD,JP,3323,Lenses,StoreInventory,Used,
28,,leica leitz minolta,153634495717,[As-Is] Leica Leitz Minolta CL Rangefinder 35mm Film Camera Body From Japan 792,279.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
33,,leica m japan,293218711340,{N. Mint＋} Minolta CLE Holding Grip for Minolta CLE Rangefinder Leica M Japan,94.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
34,,leica m4-2 35mm,202747298096,"Leica M4-2 35mm Rangefinder Film Camera  in Black ""Excellent"" #2701",1145.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
38,,leica m mount,183905718179,【N MINT】Minolta CLE Rangefinder Film Camera 40mm f/2 Leica M Mount From JAPAN,979.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
47,,leica summicron-r 50mm,223650253978,Leica SUMMICRON-R 50mm F2 2 Cam MF Lens for R Mount #190610i,433.76,USD,JP,3323,Lenses,StoreInventory,Used,
48,,leica 39mm lmt,133158252311,CANON 50mm/F1.4 Leica 39mm LMT screw mount EXCELLENT #52283,209.0,USD,JP,3323,Lenses,StoreInventory,Used,
49,,leica minilux black,173958306944,【MINT++】 Leica Minilux Black 35mm Film Camera Summarit 40mm F2.4 From JAPAN #626,1099.99,USD,JP,15230,Film Cameras,StoreInventory,Used,
52,,leica m5 black,264419540628,[MINT] Leica M5 Black 35mm Film Rangefinder Camera Body 3 Lug Serial 1359296,1100.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
74,,leica t type,163835579192,Rare SET!! 【UNUSED】 LEICA T TYPE 701 Digital Camera Black Body From JAPAN,829.9,USD,JP,31388,Digital Cameras,StoreInventory,Used,
79,,leica 39mm lmt,143371383375,CANON early chrome ver 50mm/F1.8 Leica 39mm LMT screw mount #88898,77.0,USD,JP,3323,Lenses,StoreInventory,Used,
80,,leica screw mount,293204440803,Komura Sankyo Koki 135mm f/3.5 Lens Leica Screw Mount LTM L39 Vintage Japan Exc-,84.0,USD,JP,3323,Lenses,StoreInventory,Used,
84,,leica m4 p,132994600500,*Near Mint+* Leica M4 P Rangefinder Film Camera Body w/ Half Case JAPAN #2098,1399.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
1,,leica screw mount,183875697075,【MINT】 Canon 50mm f/1.4 L39 Leica Screw Mount LTM from JAPAN,329.99,USD,JP,3323,Lenses,StoreInventory,Used,
2,,leica screw mount,143376121131,Canon P Rangefinder Film Camera Body  leica screw mount  #718577,129.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
3,,leica neck strap,223494250399,Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13680,36.75,USD,JP,107894,"Cases, Bags & Covers",FixedPrice,Used,
6,,leica leitz aufsichtssucher,223642766610,*Rare* Leica Leitz Aufsichtssucher AUFSU  14720,131.25,USD,JP,15230,Film Cameras,StoreInventory,Used,
8,,【mint+++】leica m 28mm,183941003235,【MINT+++】Leica M 28mm Viewfinder View finder From JAPAN,199.99,USD,JP,167930,Viewfinders & Eyecups,StoreInventory,Used,
28,,leica body cap,183852085115,Leica body cap for M mount,10.58,USD,JP,29965,Rangefinder Units & Accs,FixedPrice,Used,
29,,leica 14405 handgrip,133023881399,Leica 14405 Handgrip M #21340 F3,94.5,USD,JP,64343,Straps & Hand Grips,FixedPrice,Used,
36,,leica iiic rangefinder,293056335232,"Leica IIIc Rangefinder camera ""Exc++""From Japan#4207",339.0,USD,JP,15230,Film Cameras,FixedPrice,Used,
39,,leica m mount,183932632373,RICOH GXR w/A12 Leica M mount Lens Unit EXC++ From JAPAN #889,399.0,USD,JP,31388,Digital Cameras,StoreInventory,Used,
41,,leica screw mount,133158252318,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica  screw mount  #736555,179.0,USD,JP,3323,Lenses,StoreInventory,Used,
42,,leica 14405 hand,312728250162,【NEAR MINT】 LEICA 14405 Hand Grip M Handle Black M2 M3 M4 M5 M6 From Japan # 70,97.99,USD,JP,64343,Straps & Hand Grips,StoreInventory,Used,
44,,leica leitz wetzlar,113818911917,【 EXC+++++ 】 Leica Leitz Wetzlar SUMMICRON R 50mm f/2 MF 2Cam Lens From JAPAN,369.9,USD,JP,3323,Lenses,StoreInventory,Used,
48,,leica summicron-m 35mm,192891223877,"Leica Summicron-M 35mm f2 7-Element GERMANY for M6 MP etc..""Excellent++"" #2806",2695.0,USD,JP,3323,Lenses,StoreInventory,Used,
54,,leica m w/hood,333302247280,【Near Mint】Voigtlander COLOR SKOPAR 35mm F2.5 PII Lens for Leica M w/Hood 478627,324.98,USD,JP,3323,Lenses,StoreInventory,Used,
57,,leica l39 screw,183760912726,[Super Rare!] Canon 19mm f/3.5 Lens for Leica L39 Screw w/Finder From JAPAN 5134,798.0,USD,JP,3323,Lenses,StoreInventory,Used,
60,,leica 3f iiif,133158250437,Sharan Leica 3f IIIf MODEL Miniature MINOX Camera  A07078,99.0,USD,JP,15230,Film Cameras,StoreInventory,Used,
64,,genuine lbc (leica,223631535702,"Genuine LBC (LEICA Barnack Club) Soft Shutter Release Button for M6,MP 14670",89.25,USD,JP,64345,Remotes & Shutter Releases,FixedPrice,Used,
76,,leica screw mount,113865437947,【Excellent+4】 Canon 50mm f/1.4 1:1.4 MF Lens L39 Leica Screw Mount LTM JAPAN,194.99,USD,JP,3323,Lenses,StoreInventory,Used,
77,,leica m #22559,163734181248,Miyazaki Sonnetar 73mm F/1.5 F MC MS-Optics Lens Black for Leica M #22559 F2,945.0,USD,JP,3323,Lenses,FixedPrice,Used,
78,,leica m #190530e,333317797857,"""MINT"" Konica M-HEXANON 28mm F2.8 MF Lens for KM Mount Leica M #190530e",526.17,USD,JP,3323,Lenses,StoreInventory,Used,
86,,leica summicron-m 50mm,192919420760,Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2907,1350.0,USD,JP,3323,Lenses,StoreInventory,Used,
87,,"""near mint""leica summicron-m",202678894607,"""Near Mint""Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2870",1400.0,USD,JP,3323,Lenses,StoreInventory,Used,
88,,leica elmarit-m 28mm,192964648229,"Leica ELMARIT-M 28mm f/2.8 Modified to 6 bit-code""Excellent in Box"" #2661",1195.0,USD,JP,3323,Lenses,StoreInventory,Used,
