,JP_shortTitle,shortTitle,itemId,title,viewItemURL,currentPrice,currency,country,primaryCategory.categoryId,primaryCategory.categoryName,listingType,condition
0,,nikon f3 eyelevel,303261033379,Nikon F3 Eyelevel 35mm SLR Film Camera + Ai NIKKOR 24mm f/2.8 + MD-4 Motor Drive,https://www.ebay.com/itm/Nikon-F3-Eyelevel-35mm-SLR-Film-Camera-Ai-NIKKOR-24mm-f-2-8-MD-4-Motor-Drive-/303261033379,219.0,USD,JP,15230,Film Cameras,StoreInventory,Used
8,,nikon back door,254354266250,Nikon Back Door lever BLACK and Battery cap for Nikon F2  SN454 **Excellent++**,https://www.ebay.com/itm/Nikon-Back-Door-lever-BLACK-and-Battery-cap-Nikon-F2-SN454-Excellent-/254354266250,14.0,USD,JP,30038,Film Camera Parts,StoreInventory,Used
12,,nikon f4 f4s,264448915438,"""Almost MINT"" Nikon F4 F4S + AF Nikkor 50mm f1.4 Lens + SB-24 + CF-43 from Japan",https://www.ebay.com/itm/Almost-MINT-Nikon-F4-F4S-AF-Nikkor-50mm-f1-4-Lens-SB-24-CF-43-Japan-/264448915438,374.99,USD,JP,15230,Film Cameras,StoreInventory,Used
17,,nikon af nikkor,323910557022,Nikon AF NIKKOR 35-105mm F3.5-4.5 SN3026920,https://www.ebay.com/itm/Nikon-AF-NIKKOR-35-105mm-F3-5-4-5-SN3026920-/323910557022,35.8,USD,JP,3323,Lenses,StoreInventory,Used
21,,nikon f4s 35mm,123708490600,Nikon F4s 35mm SLR Film Camera Body w/MB-21 from Japan [Exc],https://www.ebay.com/itm/Nikon-F4s-35mm-SLR-Film-Camera-Body-w-MB-21-Japan-Exc-/123708490600,169.99,USD,JP,15230,Film Cameras,StoreInventory,Used
31,,nikon speedlight sb27,183926928313,Nikon Speedlight SB-27 Shoe Mount Flash w/Box [Near Mint] from Japan #11418,https://www.ebay.com/itm/Nikon-Speedlight-SB-27-Shoe-Mount-Flash-w-Box-Near-Mint-Japan-11418-/183926928313,44.99,USD,JP,48515,Flashes,StoreInventory,Used
39,,nikon speedlight sb23,133161472230,[Near Mint] Nikon Speedlight SB-23 Shoe Mount Flash for Nikon From Japan #4,https://www.ebay.com/itm/Near-Mint-Nikon-Speedlight-SB-23-Shoe-Mount-Flash-Nikon-Japan-4-/133161472230,29.99,USD,JP,48515,Flashes,FixedPrice,Used
44,,nikon ais fisheye,333310916707,【 M I N T 】Nikon Ai-S Fisheye Nikkor 16mm F/2.8 MF AiS Lens From JAPAN #261,https://www.ebay.com/itm/M-N-T-Nikon-Ai-S-Fisheye-Nikkor-16mm-F-2-8-MF-AiS-Lens-JAPAN-261-/333310916707,449.99,USD,JP,3323,Lenses,StoreInventory,Used
46,,nikon af nikkor,143368005256,Nikon AF Nikkor 35-70mm f/2.8 D Zoom Lens SN768551 from Japan *As-Is*,https://www.ebay.com/itm/Nikon-AF-Nikkor-35-70mm-f-2-8-D-Zoom-Lens-SN768551-Japan-As-Is-/143368005256,59.8,USD,JP,3323,Lenses,StoreInventory,Used
48,,nikon f100 35mm,392423137954,[Near MINT] Nikon F100 35mm Film Camera w/ MB-15 From Japan #1135,https://www.ebay.com/itm/Near-MINT-Nikon-F100-35mm-Film-Camera-w-MB-15-Japan-1135-/392423137954,249.9,USD,JP,15230,Film Cameras,StoreInventory,Used
58,,nikon af nikkor,254181048975,Nikon AF NIKKOR 28-70mm f/3.5-4.5D  Zoom Lens  from Japan  #368807,https://www.ebay.com/itm/Nikon-AF-NIKKOR-28-70mm-f-3-5-4-5D-Zoom-Lens-Japan-368807-/254181048975,39.99,USD,JP,3323,Lenses,StoreInventory,Used
59,,nikon from japan,254322358451,Sigma Zoom  28-70mm  f/3.5-5.6 HF Aspherical lens for Nikon From Japan #475204,https://www.ebay.com/itm/Sigma-Zoom-28-70mm-f-3-5-5-6-HF-Aspherical-lens-Nikon-Japan-475204-/254322358451,39.9,USD,JP,3323,Lenses,FixedPrice,Used
70,,nikon from japan,264287355429,◆As Is◆ Tokina SZ-X 60-300mm F/4-5.6 Zoom Macro Lens For Nikon From Japan #10,https://www.ebay.com/itm/As-Is-Tokina-SZ-X-60-300mm-F-4-5-6-Zoom-Macro-Lens-Nikon-Japan-10-/264287355429,39.99,USD,JP,3323,Lenses,StoreInventory,Used
76,,nikon f eye,323914302955,[Near Mint] Nikon F Eye Level W/ NIKKOR-S C Auto F/1.4 50㎜ From Japan 387,https://www.ebay.com/itm/Near-Mint-Nikon-F-Eye-Level-W-NIKKOR-S-C-Auto-F-1-4-50-Japan-387-/323914302955,239.9,USD,JP,15230,Film Cameras,StoreInventory,Used
78,,near mintnikon f2,323873869023,【Near Mint】Nikon F2 AS Photomic F2 AS Black DP-12 35mm Film Camera From JAPAN,https://www.ebay.com/itm/Near-Mint-Nikon-F2-Photomic-F2-Black-DP-12-35mm-Film-Camera-JAPAN-/323873869023,369.99,USD,JP,15230,Film Cameras,StoreInventory,Used
