,title,primaryCategory.categoryId,primaryCategory.categoryName,predictCategory
0,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,15230,Film Cameras,Digital Cameras
1,[Near Mint] Leica 28mm viewfinder Black From Japan #1047,167930,Viewfinders & Eyecups,Viewfinders & Eyecups
2,【MINT+++ w/ Box】 Minolta M-Rokkor 28mm F/2.8 Leica M Mount For CL CLE from JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
3,Very Good!! Leica SUMMARON 35mm f/3.5 L39 LTM Leica Screw Mount from Japan,3323,Lenses,Lenses
4,[As-Is] Leica Leitz Minolta CL Rangefinder 35mm Film Camera Body From Japan 792,15230,Film Cameras,Film Cameras
5,{N. Mint＋} Minolta CLE Holding Grip for Minolta CLE Rangefinder Leica M Japan,15230,Film Cameras,Straps & Hand Grips
6,"Leica M4-2 35mm Rangefinder Film Camera  in Black ""Excellent"" #2701",15230,Film Cameras,Film Cameras
7,【N MINT】Minolta CLE Rangefinder Film Camera 40mm f/2 Leica M Mount From JAPAN,15230,Film Cameras,Film Cameras
8,Leica SUMMICRON-R 50mm F2 2 Cam MF Lens for R Mount #190610i,3323,Lenses,"Lens Adapters, Mounts & Tubes"
9,CANON 50mm/F1.4 Leica 39mm LMT screw mount EXCELLENT #52283,3323,Lenses,"Lens Adapters, Mounts & Tubes"
10,【MINT++】 Leica Minilux Black 35mm Film Camera Summarit 40mm F2.4 From JAPAN #626,15230,Film Cameras,Film Cameras
11,[MINT] Leica M5 Black 35mm Film Rangefinder Camera Body 3 Lug Serial 1359296,15230,Film Cameras,Film Cameras
12,Rare SET!! 【UNUSED】 LEICA T TYPE 701 Digital Camera Black Body From JAPAN,31388,Digital Cameras,Digital Cameras
13,CANON early chrome ver 50mm/F1.8 Leica 39mm LMT screw mount #88898,3323,Lenses,"Lens Adapters, Mounts & Tubes"
14,Komura Sankyo Koki 135mm f/3.5 Lens Leica Screw Mount LTM L39 Vintage Japan Exc-,3323,Lenses,Lenses
15,*Near Mint+* Leica M4 P Rangefinder Film Camera Body w/ Half Case JAPAN #2098,15230,Film Cameras,Film Cameras
16,【MINT】 Canon 50mm f/1.4 L39 Leica Screw Mount LTM from JAPAN,3323,Lenses,Lenses
17,Canon P Rangefinder Film Camera Body  leica screw mount  #718577,15230,Film Cameras,Film Cameras
18,Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13680,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
19,*Rare* Leica Leitz Aufsichtssucher AUFSU  14720,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
20,【MINT+++】Leica M 28mm Viewfinder View finder From JAPAN,167930,Viewfinders & Eyecups,Viewfinders & Eyecups
21,Leica body cap for M mount,29965,Rangefinder Units & Accs,"Lens Adapters, Mounts & Tubes"
22,Leica 14405 Handgrip M #21340 F3,64343,Straps & Hand Grips,Straps & Hand Grips
23,"Leica IIIc Rangefinder camera ""Exc++""From Japan#4207",15230,Film Cameras,Film Cameras
24,RICOH GXR w/A12 Leica M mount Lens Unit EXC++ From JAPAN #889,31388,Digital Cameras,Digital Cameras
25,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica  screw mount  #736555,3323,Lenses,"Lens Adapters, Mounts & Tubes"
26,【NEAR MINT】 LEICA 14405 Hand Grip M Handle Black M2 M3 M4 M5 M6 From Japan # 70,64343,Straps & Hand Grips,Straps & Hand Grips
27,【 EXC+++++ 】 Leica Leitz Wetzlar SUMMICRON R 50mm f/2 MF 2Cam Lens From JAPAN,3323,Lenses,Viewfinders & Eyecups
28,"Leica Summicron-M 35mm f2 7-Element GERMANY for M6 MP etc..""Excellent++"" #2806",3323,Lenses,"Cases, Bags & Covers"
29,【Near Mint】Voigtlander COLOR SKOPAR 35mm F2.5 PII Lens for Leica M w/Hood 478627,3323,Lenses,"Lens Adapters, Mounts & Tubes"
30,[Super Rare!] Canon 19mm f/3.5 Lens for Leica L39 Screw w/Finder From JAPAN 5134,3323,Lenses,Lenses
31,Sharan Leica 3f IIIf MODEL Miniature MINOX Camera  A07078,15230,Film Cameras,Digital Cameras
32,"Genuine LBC (LEICA Barnack Club) Soft Shutter Release Button for M6,MP 14670",64345,Remotes & Shutter Releases,"Cases, Bags & Covers"
33,【Excellent+4】 Canon 50mm f/1.4 1:1.4 MF Lens L39 Leica Screw Mount LTM JAPAN,3323,Lenses,Lenses
34,Miyazaki Sonnetar 73mm F/1.5 F MC MS-Optics Lens Black for Leica M #22559 F2,3323,Lenses,Lenses
35,"""MINT"" Konica M-HEXANON 28mm F2.8 MF Lens for KM Mount Leica M #190530e",3323,Lenses,"Lens Adapters, Mounts & Tubes"
36,Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2907,3323,Lenses,Straps & Hand Grips
37,"""Near Mint""Leica Summicron-M 50mm F/2.0 GERMANY BLACK for M6 M7 MP etc #2870",3323,Lenses,Straps & Hand Grips
38,"Leica ELMARIT-M 28mm f/2.8 Modified to 6 bit-code""Excellent in Box"" #2661",3323,Lenses,"Lens Adapters, Mounts & Tubes"
39,*RARE!! Near Mint+++* Leica M4 Black Chrome Film Camera Yr.1974 From Japan #1935,15230,Film Cameras,Film Cameras
40,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica  screw mount  #655265,3323,Lenses,"Lens Adapters, Mounts & Tubes"
41,Genuine LEICA NECK Strap for M8 M4 M6 M2 M3 R9 R8 R7 13681,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
42,*Near Mint-* Leica M6 0.72 Chrome Late Model Rangefinder Camera Body Japan #2308,15230,Film Cameras,Film Cameras
43,Canon  Metal Lens Hood for  50mm f1.4 Leica screw S-50 #815216,78999,Lens Hoods,Lens Hoods
44,[Near Mint] Voigtlander Color Skopar 25mm f/4 P Lens for Leica M w/Hood #0022,3323,Lenses,"Lens Adapters, Mounts & Tubes"
45,【NEAR MINT】Leica M6 Black 0.72 35mm Rangefinder Film Camera Body from JAPAN,15230,Film Cameras,Film Cameras
46,Canon P Rangefinder Camera Body Leica LTM L39 from Japan 711926 Exc++,15230,Film Cameras,Film Cameras
47,Canon 50mm f/1.4 Leica Screw Mount LTM L39 w/S-50 Hood 14601,3323,Lenses,Lenses
48,"【Exc++++】 Leica M6 Black TTL 0.85 Rangefinder Film Camera body, Strap From JAPAN",15230,Film Cameras,Film Cameras
49,[Excellent+++++] Leica E39 UVa Protection Filter 13131 39mm Black From Japan,15216,Filters,Digital Cameras
50,Leica lens front cap bakelite black,79001,Lens Caps,Lens Caps
51,[Unused] Voigtlander Bessa R3A Rangefinder Leica M Mount Camera from Japan #2235,15230,Film Cameras,Film Cameras
52,Leica X  Digital Camera #22447 D5,31388,Digital Cameras,Digital Cameras
53,[Top MINT] Leitz Leica Germany 5X Universal Lupe Loupe 37350 Leica From JAPAN,162480,Other Camera & Photo Accs,Viewfinders & Eyecups
54,Canon 25mm View Finder Rangefinder Leica LTM L39 from Japan Exc-,167930,Viewfinders & Eyecups,Viewfinders & Eyecups
55,[NearMint] Carl Zeiss Biogon T* 28mm f/2.8 ZM Leica M Lens (540-W453),3323,Lenses,"Lens Adapters, Mounts & Tubes"
56,Canon RF Accessory Coupler for Canon model 7 #852032,3323,Lenses,Lens Hoods
57,Vintage!! Canon lens Leather Case for 100mm f3.5 leica screw mount,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
58,【Mint】 Leica Summilux M 50mm f/1.4 Black E46 Lens For M Mount  From JAPAN #8456,3323,Lenses,"Lens Adapters, Mounts & Tubes"
59,[MINT] Leica Summicron M 35mm F/2 E39 7 Element Lens from japan #94,3323,Lenses,Digital Cameras
60,RICOH GXR w/A12 Leica M mount Lens Unit w/BOX Excellent From JAPAN #882,31388,Digital Cameras,Digital Cameras
61,[MINT++]Voigtlander Ultron 28mm F/2 MF VM Lens for Leica M Mount w/Box #4248,3323,Lenses,"Lens Adapters, Mounts & Tubes"
62,【TOP MINT in BOX】LEICA Leitz Tele-Elmarit-M 90mm F/2.8 Lens M Mount from JAPAN,3323,Lenses,"Lens Adapters, Mounts & Tubes"
63,Excellent+++ Voigtlander Color Skopar 21mm F4P Leica M mount black lens,3323,Lenses,"Lens Adapters, Mounts & Tubes"
64,【Exc】Metabones Leica M Lens to M43 Mount Camera Adapter Red from japan #172,30059,"Lens Adapters, Mounts & Tubes","Lens Adapters, Mounts & Tubes"
65,[MINT++]Voigtlander Ultron 28mm F/2 MF VM Lens for Leica M Mount w/Box #3403,3323,Lenses,"Lens Adapters, Mounts & Tubes"
66,【N MINT】MINOLTA M ROKKOR 90mm f4 Lens for CL CLE Leica M Mount from Japan #101,3323,Lenses,"Lens Adapters, Mounts & Tubes"
67,【NEAR MINT+++】LEICA LEITZ CANADA SUMMICRON R 90mm f/2 3CAM R MOUNT From Japan,3323,Lenses,"Lens Adapters, Mounts & Tubes"
68,[MINT] Leica M4-2 35mm Rangefinder Film Camera Body BLACK From JAPAN,15230,Film Cameras,Film Cameras
69,"""EXC+++++"" Leica C1 AG VARIO ELMAR 38-105mm ASPH Point & Shoot From Japan #5260",15230,Film Cameras,Viewfinders & Eyecups
70,[Excellent+++] Leica Summicron R 35mm F/2 3Cam Lens from japan #373,3323,Lenses,Viewfinders & Eyecups
71,Canon 135mm F/3.5 MF Telephoto Prime Lens SN110289 for L39 LTM Leica Screw Mount,3323,Lenses,Lens Caps
72,Canon Metal Lens Hood T-42 for Leica screw 100mm f3.5 #606992,78999,Lens Hoods,Lens Hoods
73,NIKKOR-H.C. 5cm 50mm f2 f/2 Nippon Kogaku Japan Leica screw mount from Japan,3323,Lenses,Lenses
74,Canon 50mm F/1.4 Lens for Leica L39 #18186#8/24,3323,Lenses,Lenses
75,【N MINT+++】 Canon 50mm f/1.4 Leica Screw Mount L39 LTM w/ Metal Hood from JAPAN,3323,Lenses,Lenses
76,CHIYODA KOGAKU SUPER ROKKOR 50mm F1.8 Leica L Screw LTM Mount Prime Lens,3323,Lenses,"Lens Adapters, Mounts & Tubes"
77,Leica LEICA 0 Series Oskar Barnack Edition #17180#7/1,15230,Film Cameras,"Lens Adapters, Mounts & Tubes"
78,Konica M-Hexanon 28mm F/2.8 Lens for Leica M #17805G4,3323,Lenses,"Lens Adapters, Mounts & Tubes"
79,Genuine Leica Lens Case Vertical horizontal height 8x8x13 cm 13606,107894,"Cases, Bags & Covers","Cases, Bags & Covers"
80,Leica Leitz Summicron-M 50mm F/2 Lens for Leica M #21912 C1,3323,Lenses,"Lens Adapters, Mounts & Tubes"
81,nicca type-IV-s  Film Camera leica screw mount #72439,15230,Film Cameras,Film Cameras
