,Title,CurrentPrice,BidOrBuy,shopName,ItemUrl,CategoryId
0,即決 美品 保証 ライカ Leica ライカTL2 シルバー [ボディ] 18188,178000.00,178000.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=n357518070,2084305451
1,即決 良品 限定1000台 ライカ Leica D-LUX 4 チタン 箱、専用革ケース、予備バッテリー付き,51000.00,51000.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=d375070048,2084261654
2,◇ライカ SGVOO 9cm ビューファインダー,7700.00,11500.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=j577752880,2084204379
3,ライカ LEITZ CANADA TELE-ELMARIT F2.8 90mm レンズ [2794047],1400.00,69800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=p709811659,2084261698
4,ロシア JUPITER-12 F2.8 35mm USSR ルトカリノ LZOS ライカL レンズ [8705998],1100.00,17800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=k407922298,2084261698
5,★美品★ Leica ライカ Summarit 5cm 50mm 1.5★ 動作絶好調！A262,60001.00,,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=f369896722,2084261698
6,ライカ LEITZ WETZLAR ELMAR F4 135mm レンズ メタルフード [1774094],1100.00,29800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=j589645695,2084261698
7,ライカ LEICA VARIO-ELMAR-R F3.5-4.5 28-70mm 3カム レンズ [3645438],5750.00,61800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=413981164,2084261649
8,★希少・超極上品★ LEICA ライカ ELMARIT エルマリート 90mm F2.8 初代型 Ｍマウント★ 光学系カビ・くもりなし！ A217,2500.00,98000.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=k407581360,2084044783
9,〓希少レンズ〓宮崎光学 SUPER・TRIPLETⅡ PERAR 35mm F3.5 MC Mマウント,59980.00,99800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=b407253493,2084204379
10,〓外観綺麗　露出計完動品〓ライカ LEICA R-E,22980.00,39800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=j574940915,2084044783
11,【美品】 MINOLTA M-ROKKOR-QF 40mm F2 Leitz Leica CL CLE用 ライカM #112563,32800.00,35800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=m356097217,2084261698
12,★超極上美品★ジュピター JUPITER-12 35mm F2.8 Leica Lマウント ★完動品★ ライカ #196,555.00,13800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=l546420194,2084204379
13,Leica LEITZ WETZLAR SUMMICRON 50mm 1:2 f2.0 第2世代？ 2nd？ Mマウント？ レンズ ノーチェック、動作不明のジャンク扱いです。,3400.00,,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=r346712294,2084261698
14,★1円出品★ キャノン CANON SERENAR 50mm 1:3.5 ライカ Lマウント,14500.00,19800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=j589944347,2084261698
15,【美品】Leica ライカ LEICAVITM ライカビットM ブラックペイント,1.00,73000.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=n366522113,2084204379
16,★良品★Nikon AI NIKKOR ED 600mm F5.6 ★完動品★ ライカ #122,25000.00,69800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=r345921549,2084261693
17,★貴重・極上美品★ LEICA ライカ ELMARIT-M 90mm F2.8 E46 付属品満載★新品級の綺麗な外観! カビ・クモリなし! 完動品! B582,99900.00,149000.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=368963249,2084261698
18,〓外観綺麗〓リコー RICOH GXR MOUNT A12 ライカ LEICA Mマウント アダプター,23980.00,39800.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=u285141810,2084261657
19,★奇跡・極上美品★ LEICA ライカ Ⅲf 3f RD レッドダイヤル ★清潔感溢れる非常に綺麗な外観! カビ・クモリなし! 完動品! B904,44500.00,62980.00,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=q312306171,2084204379
