,Unnamed: 0,Unnamed: 0.1,Title,CurrentPrice,BidOrBuy,shopName,ItemUrl,CategoryId,predictCategory,CategoryName
0,0,0,レンズフード　CONTAX・CANON・NIKON・PENTAX・MINOLTA・・・等々　フード メーカー・サイズ色々　約110サイズ段ボール箱一杯！,1000.0,32000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=t671560233,2084261994,Lens Hoods,フード
1,1,1,即決 美品 ニコン Nikon 1 V3 プレミアムキット ブラック 【交換レンズ1本/電子ビューファインダー/グリップ/予備バッテリーセット】,84800.0,84800.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=o336017707,2084305445,Battery Grips,ニコン
2,2,2,即決 良品 動作保証 ニコン Nikon AF-S NIKKOR 70-200mm F2.8G ED VR II 箱、ケース付き,134800.0,134800.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=f359680244,2084261684,"Cases, Bags & Covers",ニコン
3,3,3,即決 保証 Nikon ニコン AF-S Nikkor ED 600mm F4D II（IF）ライトグレー 付属品完備 実用良品,421000.0,421000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=n357515642,2084261684,Lenses,ニコン
4,4,4,即決 美品 保証 ニコン AF-S NIKKOR 14-24mm F2.8G ED 箱、ケース付き,137000.0,137000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=x608486169,2084261684,"Cases, Bags & Covers",ニコン
5,5,5,即決 動作保証 Nikon ニコン AF-S NIKKOR 200-400mm F4G ED VR ケース付き 良品 通常送料無料,263000.0,263000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=b394760266,2084261684,"Cases, Bags & Covers",ニコン
6,6,6,即決 ニコン Nikon AF-S NIKKOR 70-200mm F2.8G ED VR II,125800.0,125800.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=w324163933,2084261684,Lenses,ニコン
7,7,7,即決 動作保証 ニコン Nikon PC-E Micro NIKKOR 85mm F2.8D 平行型 良品 通常送料無料,178000.0,178000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=388501897,2084261693,Lenses,ニコン
8,8,8,即決 保証動作 美品 ニコン Nikon AF VR 80-400mm F4.5-5.6D ED,56800.0,56800.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=g363873873,2084261693,Lenses,ニコン
9,9,9,即決 保証ニコン Nikon AF-S NIKKOR 70-200mm F2.8G ED VR II ケース付き,131000.0,131000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=m337957118,2084261684,"Cases, Bags & Covers",ニコン
10,10,10,ニコン一眼レフカメラ、シャッター作動、ジャンク扱い,11055.0,,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=s685541434,2084044778,Digital Cameras,ニコン
11,11,11,未使用品　ニコン　Nikon　アーバンボストンバッグ Ｌ　80周年記念バッグ,9000.0,11000.0,,https://auctions.yahooapis.jp/AuctionWebService/V2/auctionItem?auctionID=n368955397,2084261931,Battery Grips,ソフトバッグ
