,0,1,2,3,4,5,6,en,en2ja,ja,ja2en,score,score_en,score_ja
0,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,Prompt operation guarantee Leica Leica Leica TL body 18147 good item with box,即決動作保証ライカLeicaライカTLボディ18147箱付き良品,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.31678293569160326,0.7412554280998744,0.6043783384248855,,,,,,,
1,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank, R mount LEICA VARIO-ELMAR-R 28-70mm F3.5-4.5 E 60, Rマウント ライカLEICA VARIO-ELMAR-R 28-70mm F3.5-4.5 E 60,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.1931020130954529,0.7746731852180763,0.3525196057538255,,,,,,,
2,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,LEICAFLEX SL2 Leica Flex SL2 leather case instruction manual LEICA Leica LEITZ rights SL SL made in Germany,LEICAFLEX SL2ライカフレックスSL2革ケース取扱説明書LEICAライカLEITZライツドイツ製SL SL,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.3032729698501904,0.8091044652153461,0.5300832778733395,,,,,,,
3,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,Leica IIc Leica IIc original box leather case spool Leitz Lights Made in Germany,Leica IIcライカⅡc元箱革ケーススプールLeitzライツドイツ製,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.2749777700881635,0.7929042913259023,0.49044669837706034,,,,,,,
4,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,Leica Nickel Elmar 50mm F3.5 Leica Nickel Elmer Made in Germany Leitz Lights 5 35,Leica Nickel Elmar 50mm F3.5ライカニッケルエルマードイツ製Leitzライツ5 35,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.23054539529475102,0.8251968222941682,0.3951062533930548,,,,,,,
5,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,Leica Nickel Summar 5cm F2 Leica Nickelsmar Leitz Lights 50 Made in Germany,Leica Nickel Summar 5cm F2ライカニッケルズマールLeitzライツ50ドイツ製,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.22183559994676005,0.7954984515665265,0.3943727526358913,,,,,,,
6,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,LEICA ELMARIT R 28mm F2.8 Leica El Marito R booklet food cap light LEITZ made in Germany,LEICA ELMARIT R 28mm F2.8ライカエルマリートR冊子フードキャップライツLEITZドイツ製,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.3226435881987033,0.8387253656119472,0.5440242503103647,,,,,,,
7,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,Leica Hektor 12.5cm F2.5 Leica Hector Food Cap Leitz Lights Germany Germany VISOFLEX Visoflex 125 25,Leica Hektor 12.5cm F2.5ライカヘクトールフードキャップLeitzライツGermanyドイツVISOFLEXビゾフレックス125 25,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.23757928346227486,0.8291575386519324,0.40521593201394457,,,,,,,
8,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,LEICA TELE ELMAR 135mm F4 Leica Tele Elmer Cap Case LEITZ Lights Made in Germany 13.5 40,LEICA TELE ELMAR 135mm F4ライカテレエルマーキャップケースLEITZライツドイツ製13.5 40,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.2997023696426997,0.8384954286566288,0.5054805802616104,,,,,,,
9,Leica V-LUX30 Okawara Factory 200 limited Original box extremely refined rank,LEICA SUMMICRON R 50mm F2 Leica Summicron R Hood Ring LEITZ Lights Made in Germany 5 20,LEICA SUMMICRON R 50mm F2ライカズミクロンRフードリングLEITZライツドイツ製5 20,ライカV-LUX30大河原工場200限定オリジナルボックス極上ランク,0.2949726310667485,0.841675366027014,0.49562374309774243,,,,,,,
