id,type
1196,15
101,8
51,15
63,15
1070,8
813,17
220,15
478,15
923,15
818,15
937,1
1241,15
1135,15
453,15
572,8
912,15
567,8
275,11
588,15
1190,8
971,15
361,15
1194,15
622,26
1054,15
394,8
1033,8
519,15
651,8
43,15
447,15
865,26
634,15
422,15
654,15
327,8
196,4
841,8
168,8
231,8
1237,21
626,15
174,8
123,8
198,15
1110,15
465,8
23,15
218,4
700,15
677,15
731,26
582,15
536,15
1160,15
988,4
1047,8
678,15
811,15
398,8
535,15
570,8
352,8
81,8
58,8
376,8
904,15
78,8
1148,15
49,15
1046,15
76,8
599,15
289,15
1193,15
405,15
306,15
756,15
427,15
1242,15
332,15
566,8
526,8
308,6
680,15
1214,11
277,11
939,15
963,15
722,8
785,11
1113,15
523,8
503,15
44,15
497,17
720,26
29,8
31,8
355,17
367,15
850,8
560,15
86,8
309,26
1169,15
739,8
693,15
962,15
1060,8
1224,15
767,15
128,8
461,26
342,15
978,15
323,8
770,8
297,8
513,15
70,8
993,15
553,15
113,15
746,3
424,8
1024,26
732,26
210,15
979,15
1245,15
629,15
107,8
964,15
991,15
649,6
254,8
1199,15
578,15
333,8
155,8
381,15
346,15
286,15
628,16
411,8
650,8
737,15
294,15
1074,15
54,15
265,15
762,8
56,11
109,8
1175,23
1057,15
296,8
409,8
285,15
1068,15
881,15
591,8
932,15
670,15
1248,3
802,8
467,15
743,8
462,8
514,15
420,26
542,15
961,15
867,8
958,15
208,15
806,7
170,8
919,15
233,15
247,15
192,8
244,15
594,15
435,15
451,15
312,17
209,4
1004,15
428,8
1034,8
259,8
949,15
10,15
147,4
290,8
1009,15
494,11
1116,15
667,15
240,15
759,26
429,15
665,26
298,8
1006,15
953,11
380,8
796,11
1165,15
1127,15
135,8
493,15
442,15
477,15
363,8
609,11
377,15
479,15
158,15
140,8
615,12
486,8
631,15
1198,8
1087,15
730,8
780,26
65,15
533,15
807,4
940,15
585,8
579,15
1010,14
96,8
184,15
482,15
1240,15
163,15
1062,15
583,15
221,8
1122,15
32,8
156,15
371,15
724,8
243,15
706,15
