,model
0,2197
1,Nikon NIKKOR Zoom 50-135mm f/3.5 Ai-S
2,Nikon New NIKKOR 85mm f/1.8
3,Nikon GN Auto Nikkor 45mm f/2.8
4,
5,Nikon Ai Nikkor 135mm f/2.8
6,AF
7,AF NIKKOR 300mm F4 ED IF
8,Nikon AF Nikkor 28-200mm f/3.5-5.6 D
9,Nikon AF Micro Nikkor 60mm f/2.8 D
10,Nikon FE
11,AF-S NIKKOR 24-70mm F/2.8G ED
12,Nikon NIKKOR AI-S
13,Nikon Nikkor 28mm f2.8
14,AF Zoom-NIKKOR 80-200mm
15,Nikon AF Nikkor
16,Nikon Nikor Ai-s 50mm f/1.4
17,1987
18,Nikon AF Nikkor 24mm F/2.8 D
19,Nikon AF Zoom Nikkor 70-300mm f/4-5.6 G
20,Nikon Ai-s
21,ZOOM DX AFS NIKKOR
22,18-200mm F/3.5-5.6 G IF ED VR
23,Nikkor W 150mm f5.6
24,Nikkor H Auto
25,Nikon F Photomic
26,Nikon Reflex NIKKOR
27,Nikon Ai-S Nikkor 28mm f/2
28,Nikon EM
29,Nikon Nikkor-Q.C Auto 135mm f/2.8 AI Converted Len
30,Nikkor 50mm F1.4 D
31,Nikon AF-S DX NIKKOR 17-55mm f/2.8 G ED SWM IF
32,Nikon F3
33,AF Nikkor
34,NIKON AF NIKKOR 80-200mm F/2.8 ED
35,AI-S
36,Nikon AF-S Nikkor 18-200mm F/3.5-5.6G ED VR
37,Zoom-NIKKOR 80-200mm f/4.5
38,Nikon D80
39,JAA112AB
40,Nikon AF Nikkor 80-200mm F/2.8 ED
41,Nikon Ai Nikkor
42,Nikon Zoom-Nikkor
43,Nikon Nikkor SW 90mm F4.5
44,Nikon Nikkor-H Auto 50mm f/2
45,Non-Ai Nikkor-O.C Auto 35mm F/2
46,Nikon Ai-s Micro Nikkor 105mm f/2.8
47,ippon Kogaku Auto 10.5cm 105mm f/2.5 converted AI
48,Auto Nikkor S 55mm f/1.2 Non-Ai
49,Nikon Ai-s Nikkor 85mm f2
