,model
0,
1,Pentax 645N
2,Pentax Auto 110
3,Asahi PENTAX 6x7 67 Eye Level Prism Finder
4,50mm F/1.7
5,Pentax 6x7
6,K100D
7,Pentax MX
8,ESPIO 115M
9,Pentax SMC Takumar 28mm f3.5 Wide-Angle M42 Lens
10,Pentax 67
11,Pentax Super A
12,Pentax 645
13,SMC Takumar 50mm f/1.4
14,Pentax ME
15,Extension Ring I II III set
16,Pentax Z1-P
17,Pentax 645NII
18,Pentax Tele Takumar 200mm f/5.6
19,smc Pentax DAL 55-300mm f/4-5.8 ED
20,FA
21,Pentax SMC Takumar
22,Polaroid NPC Proback II Film Back
23,zoom 60-X DATE
24,SMC PENTAX 6x7 Super Multi Coated TAKUMAR 75mm f/4
25,RIKENON P
26,Takumar
27,SMC Pentax-A 645 55mm F/2.8
28,Super-Takumar 55mm f/1.8
29,Asahi Pentax 6x7
30,Super-Takumar　
31,Pentax Spotmatic
32,Pentax Spotmatic Sp
33,SMC PENTAX DA 18-135mm f/3.5-5.6 ED AL DC WR
34,SMC Pentax-M 35mm f2
35,Super-Takumar 35mm f/3.5
36,Voigtlander COLOR-SKOPAR
37,SMC PENTAX-A MACRO 50mm f/2.8
38,SMC PENTAX 67
39,Tokina AF
40,SMC PENTAX FA 45-85mm f/4.5
41,Pentax Super Multi Coated Takumar 6X7
42,PENTAX SMC
43,SMC PENTAX FA 645 400MM F/5.6 ED IF AF
44,Pentax SMC Pentax-A 35-105mm f/3.5
45,Pentax 6x7 Waist Level Finder
46,SMC PENTAX-A
47,SMC TAKUMAR
48,PENTAX SMC Takumar 6x7 90mm f/2.8 LS
49,Pentax 6x7 67
50,Espio AF Zoom 35-70mm Full Macro
51,SMC Pentax-M 20mm F/4
52,67
53,SMC PENTAX M 35mm F/2
54,PENTAX 6x7
55,ESPIO 140V
56,Pentax SMC PENTAX-M 28mm f/2.8
57,Pentax 77mm Gelatin Filter Holder
58,PENTAX SMC TAKUMAR 75mm F/4.5
59,Pentax Cable Switch F Remote Shutter Release
60,Pentax 67 Late Model Waist Level Finder
61,SMC Pentax A 645 35mm f/3.5
62,Tamron AF 28-300mm f/3.5-6.3 XR LD IF Macro
63,Pentax 6x7 55mm f/3.5 Lens Metal Hood
64,SMC Takumar 6x7 55mm F3.5
65,MAMIYA A APO 300mm f/2.8
66,Asahi Pentax Auto Takumar 55mm f/1.8 Lens for M42
67,Pentax MZ-S
68,PENTAX-F 28-80mm f/3.5-4.5
69,PENTAX SMC Takumar 6x7 105mm f/2.4
70,Pentax Super-Multi-Coated Takumar
71,Pentax KX
72,PENTAX SMC Takumar
73,TAKUMAR 135mm F/3.5 150mm F/4 200mm F/5.6
74,SMC Pentax
75,Asahi SMC PENTAX-M 35mm F/2.8
76,SMC Takumar 6x7 75mm F/4.5
77,PENTAX SMC TAKUMAR 135mm f/2.5
78,K-3 II
79,Pentax SMC 645 135mm f/4 LS
80,Pentax LX
81,Pentax SPF
82,SMC PENTAX 645 135mm F/4
83,zoom 60 DATE
84,Pentax Espio80
85,Super Takumar 135mm f/3.5
86,MZ-10
87,Pentax Espio 115 35mm Film Point & Shoot Camera
88,PENTAX ESPIO 160
89,SMC 18mm f/3.5
90,SMC Pentax-M 50mm f1.4
91,Pentax
92,Pentax SMC 50mm f/1.2
93,PENTAX SMC Pentax 6x7 45mm F4
94,Pentax-110
95,Pentax Super-multi-coated Takumar
96,SMC Takumar 135mm f2.5
97,Pentax Super-Multi-Coated Takumar 6x7 55mm F3.5
98,PENTAX SMC Takumar 6x7 105㎜ f/2.4
99,Pentax SMC Macro
100,SMC Pentax 67 45mm
101,SMC PENTAX 67 90mm f/2.8
102,Pentax SMC Pentax
103,Pentax Espio 170 SlL
104,SMC PENTAX-M 75-150mm F/4
105,SMC 67 Macro 100mm f4
106,RICOH RIKENON P Zoom
107,SMC PENTAX PHOTO LUPE 5.5X
108,90mm F/2.8 DI Macro 272E
109,Asahi PENTAX SV
110,Pentax FA SMC 28-105mm f/4-5.6
111,skylight SMC
